tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-07-19 14:19,17.09,0.72,0,0.53,1.32,18.34,83.74,0.3,23.11
2,2018-07-19 14:19,19.11,1.56,0,0.15,1.31,20.83,83.92,0.3,23.21
3,2018-07-19 14:19,10.54,0.34,0,0.82,1.28,11.7,84.47,0.3,23.28
4,2018-07-19 14:19,16.94,2.56,0.53,0,1.79,20.04,83.74,0.31,23.4
5,2018-07-19 14:19,26.6,0.74,0,0.46,1.3,27.8,83.8,0.3,23.37
6,2018-07-19 14:19,13.12,1,0,0.41,1.58,14.53,84.04,0.31,23.47
7,2018-07-19 14:19,11.44,0.39,0,0.48,1.3,12.31,84.56,0.3,23.56
8,2018-07-19 14:19,15.84,0,5.43,0.07,1.55,21.33,83.2,0,23.7
9,2018-07-19 14:19,8.83,0.74,1.39,0.03,1.31,11,84.85,0.31,23.76
10,2018-07-19 14:19,2.87,0.46,1.4,0.22,1.23,4.94,85.78,0.3,23.78
11,2018-07-19 14:19,6.28,0.83,0,0.33,1.63,7.44,85.03,0.3,23.84
12,2018-07-19 14:19,20.57,0.55,0,0.11,1.5,21.23,84.06,0.31,23.84
13,2018-07-19 14:19,24.21,0.87,0,0.33,1.03,25.41,84.35,0.3,23.87
14,2018-07-19 14:19,11.04,0.83,0,0,1.22,11.87,85.04,0.3,24.03
15,2018-07-19 14:19,19.58,0.51,0,1.02,1.47,21.12,85.01,0.3,23.97
16,2018-07-19 14:19,10.26,0.16,0,1.4,1.4,11.82,84.91,0.3,24.15
17,2018-07-19 14:19,10.37,0.24,2.12,0,0.93,12.72,84.79,0.3,24.07
18,2018-07-19 14:19,9.68,0.2,0.79,0,1.31,10.67,84.69,0.29,24.15
19,2018-07-19 14:19,31.49,0.14,0,0.26,1.44,31.89,83.61,0.3,24.13
20,2018-07-19 14:19,18.67,1.27,0,0.84,1.39,20.78,84.33,0.31,24.23
21,2018-07-19 14:19,10.35,0.87,0.88,0,1.61,12.1,85.64,0.3,24.22
22,2018-07-19 14:19,16.41,1.12,0.34,0,1.74,17.86,84.99,0.3,24.33
23,2018-07-19 14:19,13.27,0,0,0.57,1.07,13.84,85.28,0.31,24.41
24,2018-07-19 14:19,14.19,1.11,0,0.46,1.65,15.77,84.67,0.31,24.39
25,2018-07-19 14:19,7.83,1.3,0,0.17,1.6,9.3,86.11,0.3,24.47
26,2018-07-19 14:19,22.1,1.76,0,0.31,1.45,24.17,84.05,0.29,24.48
27,2018-07-19 14:19,17.51,0.98,0,0.25,1.57,18.73,84.52,0.3,24.48
28,2018-07-19 14:19,13.33,0.13,3.82,0.82,1.25,18.11,85.92,0.29,24.49
29,2018-07-19 14:19,10.96,0.55,0,0.67,1.31,12.18,86.27,0.3,24.6
30,2018-07-19 14:19,7.84,0.31,0,0.6,1.25,8.75,86.18,0.3,24.79
31,2018-07-19 14:19,5.88,0,0,1.36,1.27,7.25,84.86,0.29,24.71
32,2018-07-19 14:19,18.62,0.6,0,0.46,1.56,19.68,85.65,0.3,24.78
33,2018-07-19 14:19,3.34,0.19,0.45,0.54,1.36,4.52,86.32,0.3,24.71
34,2018-07-19 14:19,14.55,0,0,0.78,1.21,15.33,86.19,0.31,24.79
35,2018-07-19 14:19,18.19,0.18,0,1.24,1.68,19.61,84.42,0.31,24.85
36,2018-07-19 14:19,21.05,0,0,0.34,1.66,21.39,84.77,0,24.94
37,2018-07-19 14:19,5.11,1.15,0.75,0,1.46,7.01,85.75,0.29,24.92
38,2018-07-19 14:19,11.52,0.69,0,0.46,1.78,12.67,85.65,0.3,24.91
39,2018-07-19 14:19,5.93,0.32,0.7,0.45,1.55,7.4,86.4,0.31,24.93
40,2018-07-19 14:19,9.55,1.36,0,0.44,1.24,11.35,85.24,0.31,25.01
41,2018-07-19 14:19,12.24,0.26,1.74,0.29,0.93,14.53,85.17,0.31,25.01
42,2018-07-19 14:19,9.82,0.02,0,1.65,1.18,11.48,85.09,0.3,24.98
43,2018-07-19 14:19,8.35,0.97,0,0.57,1.55,9.89,85.1,0.3,24.96
44,2018-07-19 14:19,4.58,1.61,0.9,0,1.76,7.1,86.01,0.3,25.12
45,2018-07-19 14:19,8.79,0.12,1.54,0,0.83,10.45,86.27,0.3,24.99
46,2018-07-19 14:19,10.91,0.11,0,1.07,1.13,12.09,85.73,0.3,25.15
47,2018-07-19 14:19,7.97,0.12,0.64,0.56,1.2,9.29,85.89,0.3,25.16
48,2018-07-19 14:19,13.07,0.68,0,0.79,1.46,14.53,85.08,0.3,25.17
