tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-07-11 13:53,14.37,0.25,0,0.33,1.38,14.95,84.66,0.31,23.23
2,2018-07-11 13:53,12.44,0,4.81,0.01,1.17,17.26,85.22,0.31,23.34
3,2018-07-11 13:53,11.16,0.02,0,0.25,0.88,11.43,85.92,0.3,23.41
4,2018-07-11 13:53,10.66,0.75,0,0.62,1.25,12.04,85.12,0.3,23.54
5,2018-07-11 13:53,8.92,0.07,0,0.92,1.3,9.92,85.34,0.32,23.58
6,2018-07-11 13:53,6.96,0,1.33,0.91,1.42,9.2,85.97,0.31,23.68
7,2018-07-11 13:53,9.95,0,1.76,0.43,1.25,12.14,85.51,0.31,23.68
8,2018-07-11 13:53,5.19,0.46,1,0,1.01,6.66,86.32,0.32,23.74
9,2018-07-11 13:53,5.62,0,2.85,0,0.91,8.47,86.16,0.3,23.74
10,2018-07-11 13:53,6.33,0.1,2.11,0,0.89,8.54,86.66,0.31,23.79
11,2018-07-11 13:53,9.72,0,10.99,0.23,1.59,20.94,84.81,0.3,23.87
12,2018-07-11 13:53,9.43,0.32,0,0.55,1.43,10.3,85.84,0.31,23.94
13,2018-07-11 13:53,12.75,0,0.28,1.22,1.25,14.24,86.08,0.31,23.97
14,2018-07-11 13:53,3.19,0.05,1.18,0.12,0.99,4.54,86.98,0.31,24.03
15,2018-07-11 13:53,9.51,0.77,0.28,0.06,1.3,10.62,86.36,0.3,24
16,2018-07-11 13:53,4.49,0,0,0.64,1.31,5.13,86.15,0.3,24.2
17,2018-07-11 13:53,6.76,0,3.14,0.22,0.98,10.12,86.15,0.3,24.2
18,2018-07-11 13:53,6.47,0.41,3.03,0,1.24,9.91,86.23,0.31,24.07
19,2018-07-11 13:53,15.46,0,1.42,1.57,1.62,18.44,85.69,0.3,24.37
20,2018-07-11 13:53,10.23,0.34,2.24,0.21,1.26,13.01,86.41,0.32,24.26
21,2018-07-11 13:53,10.67,0,9.08,0,1.21,19.75,86.2,0.29,24.38
22,2018-07-11 13:53,8.43,0,2.24,0.58,1.51,11.25,86.24,0.32,24.44
23,2018-07-11 13:53,7.52,0.2,0.42,0,0.77,8.14,87.21,0.3,24.45
24,2018-07-11 13:53,10.25,0.34,0,1.15,1.84,11.74,86.36,0.3,24.42
25,2018-07-11 13:53,12.64,0,2.69,0.17,1.05,15.51,86.48,0.31,24.51
26,2018-07-11 13:53,15.6,0,2.37,1.36,1.91,19.33,86.27,0.31,24.54
27,2018-07-11 13:53,13.82,0,5.46,0.36,1.44,19.64,85.83,0.3,24.5
28,2018-07-11 13:53,10.06,0.02,0,0.66,1.13,10.74,87.06,0.31,24.51
29,2018-07-11 13:53,7.69,0.59,0,0.62,1.05,8.91,86.32,0.29,24.52
34,2018-07-11 13:53,4.91,0,3.03,0.68,1.43,8.62,86.35,0.31,24.49
33,2018-07-11 13:53,1.09,0.54,3.84,0.23,1.45,5.7,85.99,0.32,24.63
32,2018-07-11 13:53,7.35,0.25,0,0.66,1.26,8.26,87.06,0.29,24.66
31,2018-07-11 13:53,3.13,0.62,2.6,0.15,1.46,6.5,86.19,0.31,24.89
30,2018-07-11 13:53,7.56,0,1.89,0.56,1.14,10.01,86.89,0.3,24.94
35,2018-07-11 13:53,13.28,0,4.62,0.65,1.56,18.55,85.84,0.31,25
36,2018-07-11 13:53,9.99,0,2.33,0.49,1.37,12.8,86.34,0.31,24.96
37,2018-07-11 13:53,2.07,0.72,0.98,0.13,1.24,3.9,87.51,0.3,24.92
38,2018-07-11 13:53,11.22,0,4.47,1.29,1.8,16.99,86.14,0.31,25.03
39,2018-07-11 13:53,6.06,0.16,2.95,0.14,1.3,9.3,86.97,0.3,24.98
40,2018-07-11 13:53,6.75,0,3.02,0.33,1.45,10.1,85.76,0.3,25.07
41,2018-07-11 13:53,5.24,0.48,1.01,0,1.11,6.73,86.8,0.29,24.97
42,2018-07-11 13:53,2.16,0.17,0.4,0.68,1.43,3.41,87.24,0.3,25.01
43,2018-07-11 13:53,3.7,0.89,0,0.36,1.39,4.96,87.1,0.3,25.12
44,2018-07-11 13:53,20.82,0,10.68,0,0.86,31.5,85.78,0.3,25.11
45,2018-07-11 13:53,6.26,0,9.39,0,1.17,15.65,87.3,0.31,25.13
46,2018-07-11 13:53,7.95,0,0.74,0.48,1.04,9.17,86.52,0.29,25.16
47,2018-07-11 13:53,5.27,0.04,3.06,0,0.97,8.37,86.79,0.31,25.13
48,2018-07-11 13:53,9.63,0,0,1.15,1.34,10.77,87.1,0.31,25.17
