tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,°C,°C
1,2018-07-13 12:56,18.29,0.55,0,0.2,1.2,19.03,82.11,0.29,23.27,9692,547,0,6,0,0,0,0,10245,502.34,14.01,5.81,12.88,40.19,18.02,64.11,1.03,22.62,23.24
2,2018-07-13 12:56,15.25,0.53,1.44,0.05,1.38,17.27,83.45,0.29,23.27,8084,528,650,1,0,0,0,0,9263,510.51,15.84,4.95,12.85,40.17,15.9,61.99,1.03,23.7,23.32
3,2018-07-13 12:56,15.44,0,0.39,0.31,0.99,16.15,83.31,0.28,23.37,8185,0,176,9,0,0,0,0,8370,509.66,13.28,4.23,10.61,34.19,14.2,55.93,1.03,24.29,23.52
4,2018-07-13 12:56,12.86,1.17,0,0.81,1.52,14.85,82.32,0.29,23.53,6816,1175,0,24,0,0,0,0,8016,503.6,15.85,5.1,13.85,38.35,19.88,55.09,1.03,24.65,23.72
5,2018-07-13 12:56,14.27,0.56,0.62,0.68,1.49,16.13,82.29,0.29,23.6,7563,563,279,20,0,0,0,0,8425,503.43,16.68,4.62,13.3,40.16,17.93,60.22,1.03,24.94,23.96
6,2018-07-13 12:56,8.92,0.72,0,0.41,1.52,10.05,83.11,0.3,23.72,4729,724,0,12,0,0,0,0,5465,508.47,11.88,4.22,9.28,31.9,13.46,42.03,1.03,25.11,24.13
7,2018-07-13 12:56,9.96,0,0,0.82,1.08,10.78,83.72,0.29,23.82,5280,0,0,25,0,0,0,0,5304,512.18,12.41,4.35,8.14,28.23,12.68,42.46,1.03,25.34,24.35
8,2018-07-13 12:56,8.87,0.52,0,0.28,1.25,9.67,84.01,0.27,23.9,4702,519,0,8,0,0,0,0,5230,513.94,10.23,4.86,8.12,28.28,11.67,38.62,1.03,25.39,24.46
9,2018-07-13 12:56,5.35,0.19,0.23,0.42,1.38,6.19,84.28,0.29,24.01,2836,188,103,13,0,0,0,0,3140,515.63,10.06,3.58,6.41,25.43,8.48,31.43,1.03,25.17,24.7
10,2018-07-13 12:56,7.37,0,1.37,0.28,1.03,9.03,84.63,0.29,24.1,3906,0,618,9,0,0,0,0,4532,517.77,11.52,3.46,6.58,25.39,9.74,37.28,1.03,25.57,24.9
11,2018-07-13 12:56,9.3,0.18,3.07,1.06,1.77,13.6,83.12,0.28,24.1,4926,177,1382,32,0,0,0,0,6517,508.52,21.17,4.99,12.27,41.38,17.39,59.76,1.03,25.81,25.11
12,2018-07-13 12:56,11.46,0.54,0,0.5,1.56,12.5,83.84,0.29,24.07,6075,540,0,15,0,0,0,0,6630,512.91,13.34,5.1,10.68,35.86,14.61,49.88,1.03,25.73,25.18
13,2018-07-13 12:56,15.59,0.4,0,0.55,1.33,16.54,84.33,0.3,24.27,8263,402,0,16,0,0,0,0,8681,515.91,14.84,4.83,12.64,38.61,16.83,59.39,1.03,25.84,25.3
14,2018-07-13 12:56,4.72,0.42,0,0.38,0.94,5.52,84.88,0.29,24.27,2502,421,0,11,0,0,0,0,2935,519.29,8.14,3.51,5.95,19.06,8.47,24.48,1.03,25.8,25.55
15,2018-07-13 12:56,13.95,0.25,0,0.73,1.35,14.93,83.97,0.29,24.35,7393,252,0,22,0,0,0,0,7668,513.69,14.38,5.59,11.29,37.01,16.3,55.77,1.03,25.88,25.58
16,2018-07-13 12:56,6.5,0.55,1.51,0,1.35,8.56,84.4,0.28,24.4,3443,549,681,0,0,0,0,0,4673,516.31,11.73,3.51,7.91,28.09,9.99,37.27,1.03,25.94,25.82
17,2018-07-13 12:56,6.92,0.2,3.68,0,1.17,10.8,84.48,0.28,24.38,3669,201,1655,0,0,0,0,0,5524,516.86,15.38,3.14,8.44,29.76,10.96,44.63,1.03,25.87,25.83
18,2018-07-13 12:56,9.25,0,3.61,0.88,1.62,13.74,84.23,0.29,24.51,4905,0,1623,26,0,0,0,0,6554,515.32,20.87,6.14,11.65,39.91,15.85,59.3,1.03,25.99,25.91
19,2018-07-13 12:56,16.68,0,0,1.94,2.01,18.62,83.67,0.28,24.43,8843,0,0,58,0,0,0,0,8901,511.9,22.92,7.43,15.63,50.66,22.52,75.59,1.03,26,26.15
20,2018-07-13 12:56,13.38,0,0,0.92,1.4,14.29,84.86,0.29,24.5,7090,0,0,27,0,0,0,0,7118,519.12,15.82,5.3,10.57,36.68,14.98,55.73,1.03,26.06,26.24
21,2018-07-13 12:56,11.2,0,1.77,0.48,1.35,13.45,84.43,0.28,24.63,5938,0,794,15,0,0,0,0,6747,516.55,15.75,4.27,9.75,35.47,13.9,53.53,1.03,26.08,26.23
22,2018-07-13 12:56,9.1,1.04,1.46,0.02,1.57,11.61,84.73,0.29,24.6,4822,1037,658,0,0,0,0,0,6518,518.33,13.99,4.58,11.14,34.5,13.69,46.69,1.03,26.07,26.4
23,2018-07-13 12:56,9.39,0.3,0,0.19,1.2,9.88,85.29,0.27,24.69,4977,298,0,6,0,0,0,0,5282,521.78,9.98,3.66,7.55,28.03,10.78,39.19,1.03,26.22,26.57
24,2018-07-13 12:56,13.42,0.58,0,0.86,1.63,14.86,84.12,0.29,24.67,7113,580,0,26,0,0,0,0,7719,514.65,16.04,5.19,12.87,40.11,17.88,57.75,1.03,26.1,26.71
25,2018-07-13 12:56,9.48,0.48,0,0.58,1.24,10.54,85.31,0.28,24.71,5022,482,0,18,0,0,0,0,5522,521.89,11.86,5.18,9.54,29.5,12.98,41.58,1.03,26.17,26.75
26,2018-07-13 12:56,20.98,0,3.06,1.43,1.84,25.47,83.7,0.28,24.7,11119,0,1377,43,0,0,0,0,12539,512.05,27.95,7.66,18.74,58.57,26.41,94.84,1.03,26.26,26.75
27,2018-07-13 12:56,14.97,0.08,1.15,0.55,1.27,16.75,83.64,0.28,24.82,7937,79,516,16,0,0,0,0,8548,511.7,16.4,3.51,11.63,38.76,16.73,61.34,1.03,26.14,26.84
28,2018-07-13 12:56,10.39,0.26,0,0.92,1.42,11.57,84.83,0.26,24.74,5506,256,0,28,0,0,0,0,5790,519,13.82,5.73,10.18,33.53,14.59,47.44,1.03,26.24,27.01
29,2018-07-13 12:56,8.75,0.4,0,0.54,1.04,9.69,85.63,0.27,24.73,4635,404,0,16,0,0,0,0,5055,523.85,10.83,4.46,8.61,26,11.92,37.43,1.03,26.22,27.01
30,2018-07-13 12:56,6.92,0.74,1.63,0,1.19,9.29,84.94,0.29,24.77,3666,743,735,0,0,0,0,0,5144,519.63,11.95,3.11,8.45,27.08,11.32,37.44,1.03,26.18,27.25
31,2018-07-13 12:56,5.53,0.29,4.47,0,1.39,10.29,84.62,0.27,24.76,2930,289,2013,0,0,0,0,0,5232,517.71,17,3.94,8.78,31.92,11.11,45.84,1.03,26.25,27.41
32,2018-07-13 12:56,10.3,0.62,0,0.62,1.33,11.54,85.33,0,24.92,5458,622,0,18,0,0,0,0,6099,522.02,12.65,4.69,9.98,31.87,14.95,44.99,1.03,26.32,27.71
33,2018-07-13 12:56,3.56,0,1.57,0.89,1.34,6.02,84.86,0.27,24.96,1885,0,708,27,0,0,0,0,2620,519.13,13.54,4.25,6.89,25.6,10.02,33.16,1.03,26.33,27.72
34,2018-07-13 12:56,7.86,0,0,0.85,1.24,8.71,85.79,0.26,24.94,4165,0,0,25,0,0,0,0,4191,524.83,11.75,4.52,7.53,27.5,11.51,38.18,1.03,26.33,27.93
35,2018-07-13 12:56,12.41,0,4.04,0.75,1.65,17.2,85.14,0.27,25.07,6578,0,1820,22,0,0,0,0,8420,520.86,22.59,7.24,12.39,44.93,18.2,69.51,1.03,26.5,28
36,2018-07-13 12:56,14.17,0,0,0.72,1.53,14.9,84.31,0.29,24.95,7511,0,0,22,0,0,0,0,7533,515.78,15.96,5.34,9.96,38.83,14.81,58.47,1.03,26.46,28.01
37,2018-07-13 12:56,3.48,0.3,0,0.62,1.34,4.4,85.73,0.27,25.08,1845,301,0,18,0,0,0,0,2165,524.49,9.44,3.86,5.82,22.58,8.53,25.91,1.03,26.44,28.15
38,2018-07-13 12:56,12.82,0.06,2.4,1.81,1.63,17.08,83.45,0.27,25.01,6797,55,1078,54,0,0,0,0,7984,510.54,24.07,7.13,15.82,44.9,21.39,69.24,1.03,26.44,28.17
39,2018-07-13 12:56,6.51,0.65,1.72,0,1.26,8.88,85.83,0.27,25.04,3450,654,774,0,0,0,0,0,4878,525.1,12.01,3.67,8.32,27.4,10.53,37.21,1.03,26.52,28.25
40,2018-07-13 12:56,8.41,0.05,3.7,0.49,1.5,12.64,84.99,0.26,25.14,4458,46,1665,15,0,0,0,0,6184,519.94,18.79,4.47,10.14,36.69,13.97,54.29,1.03,26.51,28.48
41,2018-07-13 12:56,6.31,0.21,0,0.68,1.29,7.2,85.63,0.28,25.18,3346,211,0,20,0,0,0,0,3577,523.87,10.87,3.68,7.3,25.85,10.33,33.64,1.03,26.59,28.45
42,2018-07-13 12:56,2.14,0,1.34,0.76,1.49,4.24,85.02,0.26,25.11,1135,0,601,23,0,0,0,0,1760,520.12,12.3,3.75,5.62,24.89,8.47,29.23,1.03,26.57,28.44
43,2018-07-13 12:56,3.01,0.73,0,0.62,1.32,4.36,85.7,0.27,25.14,1596,728,0,19,0,0,0,0,2344,524.3,9.63,3.32,6.51,21.99,10.32,24.58,1.03,26.59,28.62
44,2018-07-13 12:56,19.77,0,10.95,0,0.96,30.72,84.73,0.27,25.12,10476,0,4928,0,0,0,0,0,15404,518.35,34.82,6.78,15.87,55.25,22.8,107.64,1.03,26.67,28.69
45,2018-07-13 12:56,7.15,0,7.04,0,1.17,14.2,85.55,0.27,25.21,3792,0,3168,0,0,0,0,0,6960,523.4,21.85,5.69,9.24,35.35,13.01,58.12,1.03,26.6,28.76
46,2018-07-13 12:56,5.06,0.75,0.6,0.56,1.38,6.96,85.02,0.28,25.28,2680,746,270,17,0,0,0,0,3713,520.13,11.87,4.18,8.68,26.31,11.42,32.8,1.03,26.69,28.94
47,2018-07-13 12:56,7.31,0,3.45,0,0.98,10.76,85.45,0.27,25.28,3875,0,1554,0,0,0,0,0,5429,522.74,14.32,4.18,7.19,27.44,9.79,43.18,1.03,26.7,29.01
48,2018-07-13 12:56,13,0.6,0,0.43,1.38,14.02,85.37,0.28,25.37,6888,600,0,13,0,0,0,0,7501,522.28,13.14,5.22,10.91,35.78,15.83,52.18,1.03,26.72,29.04
