tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-08-01 10:07,16.32,1.36,0,0.21,1.78,17.88,84.98,0.27,23.02
2,2018-08-01 10:07,23.96,0.61,0,0.63,1.79,25.2,84.44,0.29,23.26
3,2018-08-01 10:07,10.26,0.6,0,0.98,1.7,11.84,85.68,0.29,23.37
4,2018-08-01 10:07,19.29,1.39,0,0.85,2.18,21.54,83.52,0.28,23.53
5,2018-08-01 10:07,7.71,0.98,0.14,0.49,1.79,9.32,84.47,0.28,23.56
6,2018-08-01 10:07,6.95,1.15,0,1.05,1.59,9.15,84.61,0.3,23.65
7,2018-08-01 10:07,20.48,0.54,0,0,1.58,21.01,84.75,0.26,24.16
8,2018-08-01 10:07,18.1,0.79,0,0.29,1.48,19.18,85.69,0.26,24.07
9,2018-08-01 10:07,12.05,0,0,1.15,1.5,13.2,86.01,0,24.17
10,2018-08-01 10:07,9.38,1.32,1.31,0,1.52,12.01,86.22,0.28,24.21
11,2018-08-01 10:07,12.39,0.03,0,0.75,1.88,13.18,85.79,0.26,24.92
12,2018-08-01 10:07,18.83,0.18,0,0.36,1.89,19.38,85.56,0.27,24.99
13,2018-08-01 10:07,26.21,0,0,0.76,1.87,26.98,84.35,0.29,25.02
14,2018-08-01 10:07,5.04,0,2.72,0.47,1.38,8.22,87.34,0.27,25.1
15,2018-08-01 10:07,19.59,1.17,0,0.34,1.48,21.1,85.66,0.27,24.99
16,2018-08-01 10:07,12.66,0.68,0,0.54,1.64,13.88,86.91,0.26,25.1
17,2018-08-01 10:07,11.84,0.26,0,0.88,1.43,12.98,86.88,0.26,25.13
18,2018-08-01 10:07,14.35,0.37,0,0.52,1.92,15.24,86.99,0.28,25.08
19,2018-08-01 10:07,33.64,0.65,0,0.14,1.87,34.43,83.39,0.25,25.16
20,2018-08-01 10:07,6.86,1.05,0,0.4,2.18,8.31,86.51,0.26,25.11
21,2018-08-01 10:07,9.42,0.97,0,0.47,2.19,10.86,86.37,0.28,25.07
22,2018-08-01 10:07,25.14,0.85,0,0,1.81,25.99,85.86,0.26,25.17
23,2018-08-01 10:07,12.21,0.96,0.09,0.23,1.46,13.5,86.83,0.26,25.11
24,2018-08-01 10:07,18.66,0.91,0,0.48,2.49,20.05,85.25,0.27,25.2
25,2018-08-01 10:07,18.55,0.85,0,1.16,1.92,20.56,86.17,0.27,25.16
26,2018-08-01 10:07,6.52,0.67,0,1.49,1.99,8.68,86.25,0.26,25.17
27,2018-08-01 10:07,20.88,1.05,0,0.41,1.81,22.34,86.04,0.27,25.2
28,2018-08-01 10:07,7.07,1.32,0.71,0,1.62,9.11,86.39,0.27,25.24
29,2018-08-01 10:07,13.92,0.47,0,0.47,1.81,14.86,86.21,0.28,25.27
30,2018-08-01 10:07,19.13,0.36,0,0.51,2.01,20,85.72,0.24,25.29
31,2018-08-01 10:07,15.29,0.47,0,0.33,1.78,16.09,86.21,0.27,25.28
32,2018-08-01 10:07,21.95,0.42,0,0.23,1.5,22.6,85.79,0.26,25.27
33,2018-08-01 10:07,16.34,0.03,0,0.59,1.74,16.96,86.39,0.26,25.38
34,2018-08-01 10:07,15.84,0,0.4,0.82,1.54,17.06,86.46,0.26,25.4
35,2018-08-01 10:07,6.68,1.29,0.34,0,2.12,8.31,86.09,0.26,25.4
36,2018-08-01 10:07,13.49,0.48,0,0.47,1.75,14.44,85.48,0,25.39
37,2018-08-01 10:07,14.83,1.25,0,0,1.67,16.08,86.22,0.26,25.33
38,2018-08-01 10:07,15.65,1.33,0,0.98,2.18,17.95,84.14,0.27,25.47
39,2018-08-01 10:07,14.08,0.58,0,0.86,1.87,15.52,86.23,0.27,25.32
40,2018-08-01 10:07,12.93,0.46,0,0.72,1.71,14.11,86.71,0.26,25.36
41,2018-08-01 10:07,13.22,0.33,0,1.3,1.57,14.85,86.13,0.27,25.34
42,2018-08-01 10:07,11.24,0.78,0,0.02,1.5,12.04,86.84,0.28,25.47
43,2018-08-01 10:07,6.87,0.34,0,0.76,1.7,7.97,86.35,0.26,25.51
44,2018-08-01 10:07,1.52,1.64,1.28,0,2.01,4.44,86.12,0.26,25.45
45,2018-08-01 10:07,0.92,0.69,1.7,0,1.22,3.3,87.8,0.26,25.52
46,2018-08-01 10:07,9.56,2.45,0,0.91,1.91,12.92,85.97,0.25,25.51
47,2018-08-01 10:07,11.97,0.64,0,0.76,1.3,13.37,86.49,0.25,25.53
48,2018-08-01 10:07,9.59,0.74,0,0.42,2.06,10.74,85.65,0.27,25.58
