tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-08-20 10:57,19.13,1.72,0,0.94,1.71,21.78,83.59,0.3,23.07
2,2018-08-20 10:57,38.98,1.03,0,0.24,2.07,40.25,80.97,0.3,23.26
3,2018-08-20 10:57,14.42,2.58,0,0.28,1.42,17.29,84.82,0.29,23.4
4,2018-08-20 10:57,34.16,1.82,0,0,2.2,35.98,81.87,0.3,23.41
5,2018-08-20 10:57,38.86,0.59,0,0.9,2.03,40.34,79.15,0.31,23.47
6,2018-08-20 10:57,4.71,0.78,0,0.63,2.26,6.12,85.73,0.3,23.63
7,2018-08-20 10:57,28.7,1.09,0,0.02,1.57,29.82,83.61,0.28,23.68
8,2018-08-20 10:57,18.83,0,5.02,0,0.78,23.85,85.46,0.28,23.78
9,2018-08-20 10:57,2.97,0.47,1.75,0,1.46,5.19,87.25,0.31,23.83
10,2018-08-20 10:57,11.15,1.29,0,0.11,1.78,12.55,86.19,0.28,23.9
11,2018-08-20 10:57,19.65,0.6,0,0.42,2.21,20.68,84.41,0.3,23.94
12,2018-08-20 10:57,39.51,1.92,0,0,1.97,41.43,81.62,0.28,24
13,2018-08-20 10:57,31.97,1.68,0,0.21,2.01,33.87,83.46,0.29,24.01
14,2018-08-20 10:57,11.91,0,0,1.06,1.24,12.98,86.7,0.32,24.14
15,2018-08-20 10:57,37.37,1.56,0,0.38,2.23,39.31,81.77,0.29,24.2
16,2018-08-20 10:57,13.58,0,1.42,0.78,1.31,15.77,86.62,0.28,24.22
17,2018-08-20 10:57,8.11,0.37,0.18,0,0.95,8.67,86.56,0.27,24.26
18,2018-08-20 10:57,8.79,0.58,2.39,0,1.56,11.75,86.78,0.31,24.32
19,2018-08-20 10:57,41.73,3.15,0,0,2.34,44.88,79.33,0.29,24.33
20,2018-08-20 10:57,13.5,3.83,0,0.69,1.57,18.03,84.98,0.3,24.45
21,2018-08-20 10:57,21.94,0.98,0,0.31,2.03,23.23,84.71,0.29,24.53
22,2018-08-20 10:57,26.21,0.59,0,0,1.74,26.8,83.95,0.28,24.54
23,2018-08-20 10:57,21.11,0.15,0,0.84,1.67,22.1,85.91,0.28,24.64
24,2018-08-20 10:57,12.96,1.19,0,0.1,2.62,14.25,84.19,0.3,24.58
25,2018-08-20 10:57,22.94,2.02,0,0.14,2.72,25.1,85.2,0.27,24.65
26,2018-08-20 10:57,19.3,1.74,0,0.97,3.35,22.01,83.98,0.29,24.68
27,2018-08-20 10:57,25.65,1.99,0,0.25,1.91,27.89,83.47,0.29,24.77
28,2018-08-20 10:57,12.83,0.79,0,0,1.6,13.62,85.8,0.28,24.79
29,2018-08-20 10:57,32.86,1.48,0,0.11,2.17,34.44,83.89,0.26,24.8
30,2018-08-20 10:57,41.42,1.14,0,0.08,2.57,42.64,83.35,0.28,24.76
31,2018-08-20 10:57,18.15,0.04,0,0.5,1.71,18.7,86.26,0.29,24.92
32,2018-08-20 10:57,27.31,0.62,0,0.57,2.06,28.5,84.79,0.29,24.91
33,2018-08-20 10:57,18.48,0.41,0,0.26,1.5,19.15,84.85,0.28,25
34,2018-08-20 10:57,21.46,0,5.04,0,0.59,26.5,85.79,0.29,25.06
35,2018-08-20 10:57,36.17,2.46,0,0.64,1.84,39.26,79.2,0.26,25.05
36,2018-08-20 10:57,14.06,0.78,0.71,0,2.35,15.55,86.25,0.29,25.07
37,2018-08-20 10:57,23.71,1.69,0,0.29,2.33,25.69,85.09,0.29,25.1
38,2018-08-20 10:57,24.46,4.8,0,0,2.77,29.25,82.79,0.28,25.11
39,2018-08-20 10:57,26.1,3.63,0,0,3.24,29.73,84.18,0.29,25.07
40,2018-08-20 10:57,18.21,0,0,1.14,1.78,19.35,86.19,0.3,25.16
41,2018-08-20 10:57,17.91,0,2.74,0.16,1.03,20.8,86.84,0.29,25.21
42,2018-08-20 10:57,19.37,0.61,0,0.18,1.39,20.16,86.29,0.29,25.23
43,2018-08-20 10:57,3.8,0.7,0,0.42,1.96,4.91,87.4,0.29,25.29
44,2018-08-20 10:57,0.36,0.56,0,0.47,1.81,1.38,88.16,0.29,25.28
45,2018-08-20 10:57,9.14,0.25,0.11,0.65,1.47,10.14,87.06,0.29,25.33
46,2018-08-20 10:57,13.21,8.24,0,0.62,1.64,22.07,81.34,0.27,25.37
47,2018-08-20 10:57,15.39,0,0,1.1,1.01,16.49,87.24,0.3,25.38
48,2018-08-20 10:57,10.25,0.39,0,1.36,2.41,12,87.07,0.27,25.36
