tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-06-07 14:57,2.65,0.09,0,0,0.36,2.74,85.78,0.26,24.11
2,2018-06-07 14:59,0,2.82,2.04,0,0,4.86,83.2,0.25,24.21
3,2018-06-07 15:00,0.06,0,0,0.35,0.48,0.41,85.85,0.23,24.22
4,2018-06-07 15:02,0,0.13,0,0,0.78,0.13,84.88,0.24,24.32
5,2018-06-07 15:03,0.07,0.31,0.11,0,0.74,0.49,85.13,0.24,24.35
6,2018-06-07 15:05,0,0.18,0,0.16,0.77,0.34,85.52,0.25,24.44
7,2018-06-07 15:08,0.57,0.46,0,0,0.67,1.03,85.02,0.25,24.59
8,2018-06-07 15:10,0.35,0,0,0,0.76,0.35,85.61,0.24,24.7
9,2018-06-07 15:11,1.42,0.36,0,0,0.35,1.78,85.09,0.26,24.69
10,2018-06-07 15:14,0,0.58,0,0.03,0.73,0.61,85.69,0.26,24.8
11,2018-06-07 15:17,0.65,0.14,0,0.25,0.55,1.04,86.05,0.25,24.89
12,2018-06-07 15:18,0,0.32,0,0.33,0.92,0.66,84.82,0.26,24.9
13,2018-06-07 15:19,0,0.18,0.7,0,0.65,0.88,84.79,0.27,24.92
14,2018-06-07 15:21,1.54,0.13,0.08,0,0.59,1.75,85.16,0.23,24.92
15,2018-06-07 15:22,0.4,0.26,0,0,0.71,0.65,85.08,0.25,25
16,2018-06-07 15:24,0,0.13,0,0,0.76,0.13,85.92,0.25,25
17,2018-06-07 15:27,0.72,0,0,0,0.65,0.72,85.61,0.26,25.12
18,2018-06-07 15:28,0,0.02,0.15,0.37,0.56,0.54,85.69,0.24,25.1
19,2018-06-07 15:33,0,0,1.6,0,0.61,1.6,85.04,0.25,25.18
20,2018-06-07 15:36,1.42,0.52,0,0,0.51,1.93,85.6,0.23,25.31
21,2018-06-07 15:37,0,0.23,0,0.32,0.68,0.55,86.09,0.26,25.31
22,2018-06-07 15:39,0.8,0.4,0,0.01,0.69,1.21,85.31,0.24,25.26
23,2018-06-07 15:40,0.67,0.52,0.32,0,0.46,1.51,85.8,0.24,25.35
24,2018-06-07 15:41,0,0.21,0,0,0.84,0.21,85.76,0.27,25.35
25,2018-06-07 15:55,1.94,0.14,0,0.19,0.5,2.28,86.29,0.25,25.65
26,2018-06-07 15:56,0.96,0,0,0.49,0.71,1.45,85.53,0.23,25.62
27,2018-06-07 15:57,0.1,0.46,0.29,0,0.64,0.86,86.4,0.24,25.86
28,2018-06-07 15:58,0,0.17,0,0.31,0.6,0.48,85.73,0.23,25.69
29,2018-06-07 15:59,0.9,0.07,0.35,0,0.6,1.32,85.9,0.27,25.65
30,2018-06-07 16:00,0.71,0.55,0,0,0.68,1.26,86.28,0.25,25.77
31,2018-06-07 16:01,1.76,0.11,0,0,0.55,1.86,85.48,0.25,25.75
32,2018-06-07 16:03,0,0.04,0,0.57,0.56,0.61,85.81,0.26,25.7
33,2018-06-07 16:04,0,0.23,0.45,0,0.7,0.68,84.99,0.24,25.74
34,2018-06-07 16:06,0.84,0.02,0.2,0,0.65,1.06,86.53,0.25,25.74
35,2018-06-07 16:08,0,0.25,0.22,0,0.89,0.47,85.09,0.27,25.79
36,2018-06-07 16:09,0.82,0.26,0,0,0.72,1.09,85.56,0.25,25.78
37,2018-06-07 16:11,1.4,0.68,0,0,0.73,2.08,85.64,0.25,25.8
38,2018-06-07 16:12,0,0,1.19,0.33,0.4,1.52,85.5,0.26,25.76
39,2018-06-07 16:14,0,0.28,0,0.27,0.96,0.55,86.04,0.26,25.94
40,2018-06-07 16:16,0.55,0.33,0.12,0,0.62,1,85.01,0.23,25.82
41,2018-06-07 16:18,0.41,0.26,0.01,0,0.64,0.68,85.66,0.26,25.77
42,2018-06-07 16:20,0,0.34,0,0,0.82,0.34,85.86,0.26,25.84
43,2018-06-07 16:21,0,0,0.59,0,0.81,0.59,85.34,0.23,25.75
44,2018-06-07 16:23,0,0,0.27,0,0.77,0.27,85.88,0.23,25.84
45,2018-06-07 16:25,0,0.41,0,0,0.53,0.41,85.23,0.24,25.85
46,2018-06-07 16:27,0,0,0,0.95,0.84,0.95,84.7,0.24,25.9
47,2018-06-07 16:29,2.16,0.77,0,0,0.26,2.94,85.87,0.26,25.93
48,2018-06-07 16:30,0.53,0,0.05,0,0.76,0.58,85.59,0.25,25.9
