tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,°C,°C
27,2018-08-02 12:04,29.16,1.11,0,0.03,1.97,30.3,85.26,0.27,24.7,15455,1108,0,1,0,0,0,0,16563,521.62,20.92,7.13,20.64,64.04,27.48,101.35,1.03,26.21,26.74
28,2018-08-02 12:04,11.86,0.81,0,0.48,1.45,13.15,85.92,0,24.79,6287,807,0,14,0,0,0,0,7109,525.63,13.42,4.99,11.42,35.28,15.94,49.98,1.03,26.35,26.85
29,2018-08-02 12:04,16.79,0.96,0,0.35,1.89,18.1,85.62,0.28,24.84,8896,958,0,11,0,0,0,0,9865,523.82,16.36,5.56,14.34,46.94,19.82,67.39,1.03,26.24,26.98
30,2018-08-02 12:04,23.62,0.72,0,0.14,1.83,24.49,84.91,0.27,24.86,12517,724,0,4,0,0,0,0,13246,519.45,18.26,6.22,16.97,54.88,22.34,84.93,1.03,26.19,27.12
31,2018-08-02 12:04,19.41,0,0,0.89,1.49,20.3,85.53,0.28,24.87,10286,0,0,27,0,0,0,0,10313,523.27,18.08,6.2,13.69,46.08,19.73,73.28,1.03,26.35,27.08
32,2018-08-02 12:04,25.83,0.57,0,0.11,1.76,26.51,84.75,0.28,24.91,13688,574,0,3,0,0,0,0,14265,518.48,18.34,6.92,16.76,56.93,23.7,90.22,1.03,26.28,27.39
33,2018-08-02 12:04,22.58,0,1.39,0.36,1.52,24.33,85.97,0.28,24.93,11967,0,626,11,0,0,0,0,12604,525.91,20.13,6.24,15.96,51.95,20.3,84.98,1.03,26.32,27.27
34,2018-08-02 12:04,19.35,0.87,0,0,1.3,20.23,85.83,0.28,24.97,10257,873,0,0,0,0,0,0,11131,525.09,13.75,5.5,13.74,42.7,19.59,67.23,1.03,26.44,27.4
35,2018-08-02 12:04,7.02,1.02,0,0.68,1.91,8.72,85.85,0.28,25.01,3722,1024,0,20,0,0,0,0,4766,525.22,13.63,5.48,10.92,34.8,14.1,41.82,1.03,26.43,27.45
36,2018-08-02 12:04,16.85,0.74,0,0.66,1.74,18.25,85.04,0.26,25.11,8929,743,0,20,0,0,0,0,9692,520.24,17.09,5.11,14.28,45.76,20.51,67.53,1.03,26.35,27.47
