tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,?g/l,?g/l,?g/l,?g/l,r.u.,?g/l,%,m,?C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,?C,?C
1,2018-07-04 15:26,11.26,0,1.52,0.48,1.18,13.26,84.21,0.23,23.58,5968,0,684,14,0,0,0,0,6666,515.18,14.83,4.25,9.8,33.12,13.3,51.07,1.02,24.9,23.82
2,2018-07-04 15:26,7.08,0,1.44,0.69,1.25,9.21,85.18,0.23,23.57,3751,0,647,21,0,0,0,0,4419,521.11,13.81,4.43,8.11,28.61,11.3,40.71,1.02,24.99,23.98
3,2018-07-04 15:26,8.66,0.13,1.87,0,1.14,10.66,84.15,0.23,23.65,4588,135,841,0,0,0,0,0,5564,514.78,12.46,2.6,7.96,28.75,10.12,42.51,1.02,25.15,24.13
4,2018-07-04 15:26,16.62,0,2.22,0.41,1.37,19.25,83.85,0.23,23.8,8807,0,1000,12,0,0,0,0,9819,512.95,18.88,5.16,12.96,43.62,17.56,70.22,1.02,25.2,24.22
5,2018-07-04 15:26,7.03,0.43,0,0.06,1.23,7.52,83.68,0.25,23.96,3725,427,0,2,0,0,0,0,4153,511.95,8.74,3.66,6.89,24.97,8.53,32.25,1.02,25.47,24.59
6,2018-07-04 15:26,13.14,0.06,0,0.49,1.23,13.69,84.12,0.22,24.01,6966,59,0,15,0,0,0,0,7040,514.62,12.89,3.36,9.76,33.73,13.79,51.22,1.02,25.49,24.8
7,2018-07-04 15:26,7.06,0,1,0.26,1.14,8.32,84.99,0.21,24.06,3744,0,450,8,0,0,0,0,4202,519.91,10.85,2.97,6.17,25.66,9.23,36.01,1.02,25.5,24.92
8,2018-07-04 15:26,8.59,0.13,0,0.23,1.16,8.95,85.1,0.23,24.13,4554,125,0,7,0,0,0,0,4686,520.63,9.45,2.37,6.18,26.32,10.22,36.64,1.02,25.57,24.97
9,2018-07-04 15:26,4.39,0.05,4.41,0.09,1.18,8.95,85.11,0.26,24.26,2328,49,1986,3,0,0,0,0,4365,520.71,15.91,3.52,7.05,27.88,10,40.83,1.03,25.72,25.18
10,2018-07-04 15:26,8.22,0,1.68,0.49,1.14,10.39,86.15,0.24,24.46,4356,0,755,15,0,0,0,0,5126,527.05,13.68,3.35,7.85,28.75,11.82,42.8,1.02,25.76,25.7
11,2018-07-04 15:26,8.59,0.22,5.2,0,1.13,14.01,84.89,0.24,24.57,4555,220,2339,0,0,0,0,0,7115,519.34,19.07,4.59,10.5,34.11,13.45,54.59,1.02,25.82,25.72
12,2018-07-04 15:26,10.16,0.29,0,0.78,1.36,11.24,84.4,0.24,24.54,5387,294,0,23,0,0,0,0,5705,516.31,13.1,5.34,9.87,32.18,13.82,45.56,1.02,25.91,25.8
13,2018-07-04 15:26,10.25,0.46,1.11,0,1.02,11.82,84.89,0.24,24.65,5435,461,498,0,0,0,0,0,6394,519.33,11.65,3.57,9.01,28.44,11.71,43.05,1.02,25.98,25.99
14,2018-07-04 15:26,4.73,0,1.04,0,0.81,5.77,85.89,0.21,24.73,2509,0,466,0,0,0,0,0,2976,525.47,7.9,2.94,4.12,18.03,5.88,25.23,1.02,26.07,26.17
