tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,?g/l,?g/l,?g/l,?g/l,r.u.,?g/l,%,m,?C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,?C,?C
1,2018-08-31 14:55,19.75,4.16,0,0.58,1.62,24.49,81.81,0.3,22.57,10470,4156,0,17,0,0,0,0,14643,500.49,21.39,9.2,26.79,50.52,34.56,75.15,1.03,22.63,22.85
2,2018-08-31 14:55,50.54,1.5,0,0,1.58,52.04,77.95,0.29,22.75,26785,1500,0,0,0,0,0,0,28285,476.88,28.76,12.71,33.32,88.66,42.83,157.32,1.03,23.46,22.93
3,2018-08-31 14:55,15.24,2.2,0,0.6,1.45,18.04,83.67,0.3,22.84,8077,2199,0,18,0,0,0,0,10293,511.87,17.11,5.87,18.07,41.02,24.12,60.43,1.03,24.07,23.18
4,2018-08-31 14:55,35.67,2.32,0,0.4,2.01,38.39,79.86,0.3,23.07,18907,2319,0,12,0,0,0,0,21237,488.53,26.09,11.64,28.3,75.14,38.7,122.03,1.03,24.54,23.36
5,2018-08-31 14:55,37.96,0.92,0,0,1.64,38.89,78.98,0.31,23.19,20120,924,0,0,0,0,0,0,21045,483.17,23.16,8.98,24.12,71.85,32.71,122.56,1.03,24.54,23.58
6,2018-08-31 14:55,13.39,0.2,0,1.45,1.73,15.03,83.24,0.3,23.24,7094,196,0,44,0,0,0,0,7334,509.23,17.94,6.07,12.51,42.36,19.88,61.3,1.03,24.67,23.81
7,2018-08-31 14:55,42.91,1.11,0,0,1.63,44.02,78.73,0.29,23.29,22742,1114,0,0,0,0,0,0,23856,481.63,24.18,10.55,28.12,78.88,36.44,136.38,1.03,24.78,23.92
8,2018-08-31 14:55,6.2,0.64,0.37,0,1.02,7.22,84.92,0.29,23.48,3287,644,169,0,0,0,0,0,4099,519.49,8.63,2.77,7.46,21.98,8.48,29.11,1.03,24.92,24.11
9,2018-08-31 14:55,10.16,0,1.05,0.43,1.16,11.64,84.93,0.32,23.59,5384,0,472,13,0,0,0,0,5869,519.57,13.1,2.78,7.76,30.48,12.76,45.91,1.03,25.01,24.38
10,2018-08-31 14:55,20.44,0,0,0.35,1.67,20.79,83.44,0.32,23.74,10832,0,0,11,0,0,0,0,10842,510.47,16.72,6.26,13.21,48.49,17.86,75.31,1.03,25.03,24.51
11,2018-08-31 14:55,40.13,0.71,0,0,1.93,40.85,81.29,0.28,23.72,21271,715,0,0,0,0,0,0,21986,497.29,25.06,8.98,25.21,78.14,33.27,131.46,1.03,25.18,24.72
12,2018-08-31 14:55,36.4,2.64,0,0.19,1.81,39.23,79.07,0.29,23.75,19293,2638,0,6,0,0,0,0,21937,483.7,25.32,10.9,28.5,73.54,39.85,121.31,1.03,25.16,24.99
13,2018-08-31 14:55,42.75,1.73,0,0,1.37,44.48,80.74,0.29,23.89,22659,1727,0,0,0,0,0,0,24386,493.97,24.99,10.96,29.45,75.87,38.53,133.66,1.03,25.41,25.09
14,2018-08-31 14:55,10.77,0.72,0,1.01,1.16,12.5,84.48,0.29,23.89,5710,720,0,30,0,0,0,0,6461,516.84,14.29,5.07,11.74,31.4,17.11,46.58,1.03,25.15,25.29
15,2018-08-31 14:55,51.1,1.67,0,0.87,1.98,53.64,78.59,0.29,24.03,27081,1673,0,26,0,0,0,0,28781,480.78,34.13,13.99,35.8,96.06,48.96,166.86,1.03,25.42,25.5
16,2018-08-31 14:55,4.96,0.85,1.26,0,1.43,7.08,84.56,0.3,24.06,2631,854,566,0,0,0,0,0,4051,517.32,11.12,2.54,7.87,26.79,10.12,32.97,1.03,25.31,25.54
17,2018-08-31 14:55,16.57,0,0,0,0.97,16.57,85.12,0.29,24.04,8783,0,0,0,0,0,0,0,8783,520.72,13.05,3.94,7.77,33.47,12.64,56.7,1.03,25.49,25.73
18,2018-08-31 14:55,16.08,0,0,0.47,1.46,16.54,84.95,0.29,24.17,8521,0,0,14,0,0,0,0,8535,519.72,14.41,5.09,11.08,40.51,15.66,61.58,1.03,25.5,25.95
19,2018-08-31 14:55,26.52,5.05,0,0.88,1.51,32.45,78.46,0.29,24.26,14056,5051,0,26,0,0,0,0,19133,480.01,26.01,11.42,33.39,59.58,44.41,94.63,1.03,25.55,26
20,2018-08-31 14:55,23.33,0,13.42,0.83,1.96,37.58,81.67,0.3,24.26,12365,0,6039,25,0,0,0,0,18428,499.64,47.4,11.11,25.78,78.95,34.98,138.19,1.03,25.64,26.14
21,2018-08-31 14:55,24.31,0.41,0,0.71,1.65,25.44,83.16,0.29,24.35,12887,413,0,21,0,0,0,0,13322,508.76,20.42,5.95,18.27,54.5,23.67,87.64,1.03,25.69,26.32
22,2018-08-31 14:55,17.47,0.64,0,0.59,1.86,18.7,84.35,0.29,24.44,9258,638,0,18,0,0,0,0,9913,516.03,17.44,6.22,14.99,47.89,19.48,70.11,1.03,25.74,26.46
23,2018-08-31 14:55,18.15,0.07,0,0.81,1.84,19.04,84.35,0.29,24.44,9622,72,0,24,0,0,0,0,9718,516.04,18.06,4.85,13.77,48.54,19.26,72.68,1.03,25.73,26.49
24,2018-08-31 14:55,14.98,0.88,0,0.23,2.17,16.09,83.76,0.29,24.5,7939,883,0,7,0,0,0,0,8829,512.4,15.2,6.3,12.19,47.7,18.57,64.46,1.03,25.78,26.61
25,2018-08-31 14:55,30.52,0.92,0,0.82,1.65,32.26,82.87,0.28,24.62,16177,915,0,25,0,0,0,0,17117,506.99,23.57,8.17,22.28,63.64,31.42,105.73,1.03,25.89,27.01
26,2018-08-31 14:55,44.79,1.1,0,1.21,2.51,47.1,79.05,0.3,24.76,23741,1097,0,36,0,0,0,0,24874,483.57,34.12,13.64,33.57,94.17,42.82,155.77,1.03,25.91,27.01
27,2018-08-31 14:55,29.85,1.69,0,0.77,1.94,32.31,80.45,0.27,24.75,15822,1688,0,23,0,0,0,0,17533,492.19,24.65,8.94,24.6,66.58,33.67,106.57,1.03,25.99,27.21
28,2018-08-31 14:55,18.49,0.81,0,0.05,1.72,19.34,84.74,0.29,24.81,9798,813,0,1,0,0,0,0,10612,518.45,15.14,5.31,13.57,46.51,19.14,69.06,1.03,25.93,27.22
29,2018-08-31 14:55,32.98,0,0,0.99,1.92,33.97,83.03,0.28,24.85,17480,0,0,30,0,0,0,0,17510,507.92,25.51,10.05,21.5,69.76,29.51,115.84,1.03,26.1,27.25
30,2018-08-31 14:55,39.81,1.22,0,0.39,2.34,41.42,82.3,0.29,24.83,21098,1216,0,12,0,0,0,0,22326,503.48,27.95,12.12,28.37,83.88,36.48,136.44,1.03,26.07,27.39
31,2018-08-31 14:55,22.93,0.68,0,0,1.72,23.6,84.48,0.29,24.92,12152,676,0,0,0,0,0,0,12828,516.83,16.39,5.97,16.2,52.46,20.89,81.27,1.03,26.07,27.44
32,2018-08-31 14:55,41.93,0.16,0,0.8,2.59,42.89,82.85,0.27,24.96,22222,163,0,24,0,0,0,0,22410,506.83,30.56,9.87,27.61,89.67,36.08,146.39,1.03,26.18,27.76
33,2018-08-31 14:55,9.19,0.81,0,0.05,1.13,10.06,85.98,0.29,25.02,4872,814,0,2,0,0,0,0,5687,526.03,9.47,5.5,8.85,27.08,11.54,37.42,1.03,26.17,27.55
34,2018-08-31 14:55,16.57,0,2.5,0,1.04,19.08,85.11,0.28,25.01,8784,0,1127,0,0,0,0,0,9911,520.69,16.85,3.5,11.29,39.08,15.89,66.17,1.03,26.24,27.91
35,2018-08-31 14:55,22.67,6.01,0,0.45,1.76,29.13,80.65,0.27,25.03,12015,6013,0,13,0,0,0,0,18042,493.4,24.11,11.88,33.49,57.14,43.47,84.5,1.03,26.22,27.78
36,2018-08-31 14:55,37.7,0.13,0,0,2.02,37.83,82.45,0.29,25.14,19979,130,0,0,0,0,0,0,20109,504.41,23.72,8.73,22.91,75.46,28.66,125.27,1.03,26.17,27.83
37,2018-08-31 14:55,29.48,0.91,0,0.19,2.26,30.57,82.89,0.29,25.04,15623,910,0,6,0,0,0,0,16538,507.08,22.67,7,21.7,68.06,27.1,105.71,1.03,26.28,27.91
38,2018-08-31 14:55,19.24,4.31,0,0.73,1.97,24.28,80.07,0.29,25.08,10197,4311,0,22,0,0,0,0,14530,489.85,22.77,9.39,27.35,54.4,36.07,77.82,1.03,26.3,27.89
39,2018-08-31 14:55,36.29,1.52,0,0.08,2.4,37.88,81.76,0.3,25.11,19231,1519,0,2,0,0,0,0,20753,500.21,25.76,8.7,25.93,79.24,34.76,125.82,1.03,26.32,28.04
40,2018-08-31 14:55,17.62,1.54,4.15,0,1.87,23.31,84.44,0.29,25.1,9338,1542,1867,0,0,0,0,0,12748,516.55,24.55,6.25,19.68,54.26,24.03,83.48,1.03,26.46,28.09
41,2018-08-31 14:55,14.26,0.24,0,0.5,1.44,15,85.86,0.29,25.03,7557,238,0,15,0,0,0,0,7809,525.25,14.05,5.49,11.49,38.01,14.93,56.47,1.03,26.32,28.26
42,2018-08-31 14:55,43.89,0,4.81,0,0.76,48.7,83.59,0.3,25.22,23262,0,2164,0,0,0,0,0,25426,511.36,32.89,11.49,23.27,74.96,32.05,150.92,1.03,26.36,28.55
43,2018-08-31 14:55,7.34,0.82,0.64,0.22,1.87,9.02,84.66,0.3,25.12,3890,824,289,7,0,0,0,0,5010,517.95,12.97,3.26,9.22,34.66,12.61,42.57,1.03,26.4,28.27
44,2018-08-31 14:55,0.73,0,0,1.01,1.82,1.74,85.61,0.27,25.2,389,0,0,30,0,0,0,0,420,523.74,11,3.22,4.61,25.12,7.71,24.65,1.03,26.46,28.25
45,2018-08-31 14:55,7.98,0.83,0.96,0.1,1.3,9.87,85.68,0.29,25.2,4227,826,432,3,0,0,0,0,5489,524.17,11.88,2.45,8.75,28.93,12.76,39.47,1.03,26.5,28.41
46,2018-08-31 14:55,22.22,7.87,0,2.65,2.07,32.74,76.26,0.28,25.16,11777,7867,0,79,0,0,0,0,19724,466.54,36.14,17.79,46.87,66.23,58.92,97.05,1.03,26.43,28.51
47,2018-08-31 14:55,6.34,0.92,0,0.32,1.21,7.58,85.52,0.27,25.2,3359,923,0,10,0,0,0,0,4292,523.2,9.87,3.7,8.31,24.63,11.57,31.44,1.03,26.5,28.45
48,2018-08-31 14:55,27.99,0.22,0,1.04,1.98,29.24,83.54,0.27,25.18,14832,219,0,31,0,0,0,0,15082,511.06,24.03,8.4,21.28,64.04,26.57,102.57,1.03,26.46,28.44
