tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-07-06 14:27,17.06,0,0,0.85,1.55,17.92,83.61,0.28,23.47
2,2018-07-06 14:27,9.63,0,1.76,0.55,1.38,11.93,84.75,0.29,23.68
3,2018-07-06 14:27,10.25,0.21,0,0.05,1.09,10.5,85.12,0.28,23.97
4,2018-07-06 14:27,18.1,0,1.65,0.51,1.37,20.26,84.48,0.28,24.16
5,2018-07-06 14:27,9.34,0.38,0,0.26,1.28,9.98,84.5,0.28,24.25
6,2018-07-06 14:27,13.5,0,1.62,0.72,1.36,15.84,84.8,0.29,24.64
7,2018-07-06 14:27,9.52,0.11,0,0.83,1.69,10.46,85.01,0.29,24.68
8,2018-07-06 14:27,9.34,0,0,0.32,0.88,9.66,85.89,0.28,24.74
9,2018-07-06 14:27,5.57,0,4.45,0.25,1.2,10.27,85.65,0.29,24.76
10,2018-07-06 14:27,8.45,0,0.8,0.11,1.21,9.35,86.37,0.28,24.76
11,2018-07-06 14:27,8.62,0,9.23,0.3,1.79,18.15,85.81,0.29,25.02
12,2018-07-06 14:27,8.43,0,1.22,1.12,1.8,10.77,85.39,0.27,25.1
13,2018-07-06 14:27,12.94,0.09,0.35,0.68,1.26,14.06,85.43,0.26,25.09
14,2018-07-06 14:27,5.13,0,1.72,0,0.84,6.85,86.37,0.27,25.14
15,2018-07-06 14:27,5.08,0.26,0,0.39,1.22,5.73,86.16,0.28,25.18
16,2018-07-06 14:27,5.82,0,2,0.66,1.45,8.48,85.42,0.28,25.23
17,2018-07-06 14:27,6.69,0.46,2.46,0,1.16,9.6,86.26,0.27,25.52
18,2018-07-06 14:27,7.71,0.47,0,0.35,1.38,8.53,85.96,0.28,25.47
19,2018-07-06 14:27,8.95,0.91,0.97,0.14,1.4,10.98,85.93,0.28,25.5
20,2018-07-06 14:27,9.53,0,1.2,0.73,1.18,11.46,86.47,0.29,25.54
21,2018-07-06 14:27,10.88,0,14.33,0,1.81,25.2,84.52,0.27,25.47
22,2018-07-06 14:27,13.54,0,2.59,0,1.47,16.13,85.78,0.27,25.55
23,2018-07-06 14:27,8.96,0,8.97,0,1.38,17.93,86.69,0.29,25.56
24,2018-07-06 14:27,11.69,0,3.33,0.58,1.69,15.59,84.71,0.25,25.58
25,2018-07-06 14:27,20.34,0,7.74,0,0.91,28.08,86.03,0.27,25.58
26,2018-07-06 14:27,15.3,0.4,0,0.51,1.5,16.21,85.32,0.27,25.56
27,2018-07-06 14:27,17.12,0,3.77,0.5,1.47,21.39,85.14,0.28,25.59
28,2018-07-06 14:27,7.99,0.09,0,0.57,1.19,8.65,86.47,0.27,25.66
29,2018-07-06 14:27,9.71,0.38,0.85,0.2,0.9,11.15,86.55,0.29,25.64
30,2018-07-06 14:27,10.1,0.15,1.92,0.19,1.25,12.35,86.13,0.28,25.73
31,2018-07-06 14:27,3.96,0.58,0.06,0.37,1.25,4.97,86.42,0.28,25.68
32,2018-07-06 14:27,7.26,0,3.75,0.58,1.48,11.6,86.6,0.26,25.68
33,2018-07-06 14:27,2.44,0.14,0.76,0.99,1.23,4.33,86.69,0.27,25.73
34,2018-07-06 14:27,6.87,0.22,0,0.57,1.12,7.66,86.21,0.29,25.67
35,2018-07-06 14:27,11.48,0.75,0.47,0.49,1.37,13.19,85.26,0.27,25.75
36,2018-07-06 14:27,7.96,0,0.77,0.44,1.14,9.17,86.55,0.27,25.8
37,2018-07-06 14:27,9.37,0.48,2.42,0,1.37,12.27,86.62,0.27,25.75
38,2018-07-06 14:27,15.9,0,4.29,0.52,1.52,20.71,84.82,0.27,25.74
39,2018-07-06 14:27,7.5,0,3.44,0.34,1.34,11.28,87.2,0.27,25.88
40,2018-07-06 14:27,13.17,0.32,0,0.59,1.34,14.07,85.53,0.28,25.77
41,2018-07-06 14:27,6.73,0.05,0,0.57,1.04,7.34,87.5,0.28,25.79
42,2018-07-06 14:27,3.7,0.13,0,0.83,1.32,4.66,86.86,0.27,25.79
43,2018-07-06 14:27,8.24,0,4.27,0.65,1.51,13.16,85.78,0.27,25.84
44,2018-07-06 14:27,9.23,0,1.79,0.91,1.15,11.93,87.57,0.29,25.83
45,2018-07-06 14:27,6.33,0.54,3.24,0.42,0.84,10.53,87.72,0.26,25.85
46,2018-07-06 14:27,19.79,0,19.96,0,1.76,39.74,85.03,0.27,25.86
47,2018-07-06 14:27,6.25,0,5.77,0,1.32,12.02,85.96,0.27,25.79
48,2018-07-06 14:27,8.56,0.52,2.64,0.25,1.52,11.97,86.9,0.28,25.89
