tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,?g/l,?g/l,?g/l,?g/l,r.u.,?g/l,%,m,?C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,?C,?C
1,2018-08-28 10:14,19.13,4.37,0.73,0.16,1.85,24.4,81.52,0.3,22.75,10141,4372,330,5,0,0,0,0,14847,498.72,22.14,7.39,27.17,52.69,33.64,76.42,1.03,22.22,22.88
2,2018-08-28 10:14,41.74,0.43,0,1.12,2.17,43.29,79.21,0.3,22.85,22123,429,0,34,0,0,0,0,22585,484.6,30.31,11.18,27.64,85.39,39.18,143.37,1.03,23.47,23.12
3,2018-08-28 10:14,16.44,2.6,0.29,0.39,1.58,19.73,83.81,0.3,22.95,8714,2605,130,12,0,0,0,0,11460,512.74,18.33,6.85,20.54,44.47,25.07,65.21,1.03,24,23.22
4,2018-08-28 10:14,35.1,1.5,0,0.48,2.06,37.08,79.1,0.3,22.96,18604,1500,0,14,0,0,0,0,20118,483.9,25.97,10.42,26.74,74.41,34.68,121.02,1.03,24.32,23.54
5,2018-08-28 10:14,41.9,0,0,0.57,2.21,42.47,77.65,0.3,23.23,22209,0,0,17,0,0,0,0,22226,475.01,29.56,11.14,24.23,83.92,33.47,142.03,1.03,24.51,23.71
6,2018-08-28 10:14,12.83,0.63,0,0.56,2.1,14.02,83.03,0.31,23.13,6797,628,0,17,0,0,0,0,7442,507.94,15.38,5.59,11.37,44.43,17.39,59.25,1.03,24.68,23.86
7,2018-08-28 10:14,39.54,1.46,0,0,1.6,41,78.95,0.3,23.28,20955,1463,0,0,0,0,0,0,22418,483.01,22.87,10.58,27.64,74.22,35.21,126.74,1.03,24.74,24.02
8,2018-08-28 10:14,5.6,0.43,0,0.47,1.02,6.51,84.31,0.31,23.34,2967,434,0,14,0,0,0,0,3415,515.78,8.99,3.62,6.38,21.35,9.97,28.09,1.03,24.85,24.21
9,2018-08-28 10:14,7.58,0.39,1.74,0.39,1.1,10.1,83.9,0.3,23.39,4020,387,782,12,0,0,0,0,5201,513.26,13.41,4.78,9.25,27.6,11.57,40.43,1.03,24.96,24.45
10,2018-08-28 10:14,15.41,0.48,0,0.09,1.92,15.98,83.56,0.3,23.46,8166,483,0,3,0,0,0,0,8652,511.21,13.65,6.24,10.53,44.84,16.55,62.56,1.03,25.08,24.61
11,2018-08-28 10:14,32.08,0.85,0,0.09,2.41,33.02,80.62,0.31,23.49,17002,847,0,3,0,0,0,0,17852,493.19,23.2,9.11,22.12,73.35,28.71,114.01,1.03,25.09,24.8
12,2018-08-28 10:14,31.1,2.36,0,0.27,2.26,33.74,79.85,0.28,23.63,16485,2358,0,8,0,0,0,0,18851,488.52,24.61,10.38,26.5,71.62,34.76,111.07,1.03,25.2,24.8
13,2018-08-28 10:14,39.45,2.24,0,0,1.95,41.69,79.73,0.3,23.53,20909,2241,0,0,0,0,0,0,23150,487.78,25.72,10.85,29.28,78.67,39.04,130.18,1.03,25.26,25.01
14,2018-08-28 10:14,12.19,1.02,1.36,0.01,1.36,14.57,84.43,0.3,23.76,6458,1020,612,0,0,0,0,0,8090,516.54,14.6,4.76,12.51,36.01,15.46,52.93,1.03,25.34,25.28
15,2018-08-28 10:14,49.65,2.97,0,0,1.78,52.62,78.81,0.3,23.67,26314,2968,0,0,0,0,0,0,29281,482.11,30.64,14.18,36.63,90.85,48.7,157.2,1.03,25.27,25.41
16,2018-08-28 10:14,5.14,0.85,1.49,0,1.6,7.48,85.24,0.3,23.79,2724,853,671,0,0,0,0,0,4248,521.49,12.08,4.36,8.7,29.47,9.96,35.91,1.03,25.29,25.39
