tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-08-15 14:32,14.68,2.43,0,0.13,1.62,17.24,84.95,0.23,26.21
2,2018-08-15 14:32,32.61,1.46,0,0,2.03,34.06,83.78,0.23,26.35
3,2018-08-15 14:32,17.89,0,0,1.04,1.27,18.93,86.46,0.22,26.48
4,2018-08-15 14:32,30.73,1.12,0,0.27,2.29,32.11,84.79,0.23,26.42
5,2018-08-15 14:32,29.06,1.17,0,0.48,1.67,30.71,82.25,0.22,26.58
6,2018-08-15 14:32,2.39,1.66,0,0.54,1.77,4.59,86.71,0.22,26.59
7,2018-08-15 14:32,19.01,0.17,0,0.28,1.28,19.45,86.45,0.22,26.56
8,2018-08-15 14:32,11.27,0.18,0,0.69,1.03,12.14,87.1,0.22,26.58
9,2018-08-15 14:32,4.74,0,0,0.87,1.03,5.61,88.01,0.22,26.64
10,2018-08-15 14:32,6.16,0.41,0,0.76,1.42,7.32,87.52,0.22,26.62
11,2018-08-15 14:32,14.68,0,0,0.48,2.04,15.16,86.36,0.23,26.66
12,2018-08-15 14:32,42.07,0.51,0,0,1.71,42.58,83.31,0.21,26.65
13,2018-08-15 14:32,30.41,0.97,0,0.09,1.78,31.47,84.64,0.22,26.6
14,2018-08-15 14:32,7.86,0.82,1.3,0,1.12,9.99,87.66,0.22,26.73
15,2018-08-15 14:32,29.22,0.47,0,0.87,2,30.57,84.53,0.22,26.76
16,2018-08-15 14:32,17.95,0,3.03,0,1.2,20.97,86.36,0.24,26.73
17,2018-08-15 14:32,7.45,0.31,0,0.18,1.1,7.94,88.25,0.22,26.73
18,2018-08-15 14:32,8.87,0.47,1.85,0.51,1.64,11.7,87.49,0.22,26.72
19,2018-08-15 14:32,42.6,1.47,0,0.54,1.8,44.6,82.51,0.23,26.71
20,2018-08-15 14:32,18.05,3.76,0,0.05,2.09,21.86,85.09,0.23,26.66
21,2018-08-15 14:32,24.95,0.54,0,0.13,1.68,25.61,85.53,0.21,26.72
22,2018-08-15 14:32,26.74,0.83,0,0,1.85,27.58,85.06,0.23,26.76
23,2018-08-15 14:32,23.4,0.61,0,0.39,1.5,24.39,86.8,0.21,26.62
24,2018-08-15 14:32,15.55,0.91,0.28,0,2.19,16.74,85.91,0.21,26.7
25,2018-08-15 14:32,23.54,1.7,0,0.51,2.75,25.75,85.47,0.22,26.73
26,2018-08-15 14:32,14.84,1.71,0,0.53,2.84,17.09,86.56,0.23,26.7
27,2018-08-15 14:32,25.92,2.03,0,0,1.6,27.95,79.66,0.2,26.73
28,2018-08-15 14:32,13.45,0.6,0.36,0,1.5,14.42,82.9,0.22,26.84
29,2018-08-15 14:32,30.5,1.2,0,0.1,2.16,31.8,85.15,0.21,26.89
30,2018-08-15 14:32,49.64,1.35,0,0,2.65,50.99,83.89,0.22,26.73
31,2018-08-15 14:32,21.41,0,0,0.8,1.2,22.21,86.9,0.22,26.78
32,2018-08-15 14:32,33.04,1.02,0,0,2,34.06,85.78,0.22,26.88
33,2018-08-15 14:32,17.49,0,3.97,0,0.94,21.46,87.11,0.22,26.78
34,2018-08-15 14:32,16.87,0.45,0,0.17,1.24,17.5,87.62,0.21,26.81
35,2018-08-15 14:32,50.9,1.54,0,0.63,1.52,53.07,81.13,0.22,26.77
36,2018-08-15 14:32,13.86,0.68,0,0.48,1.79,15.02,87,0.23,26.81
37,2018-08-15 14:32,28.94,0.87,0,0.32,1.87,30.13,85.82,0.21,26.82
38,2018-08-15 14:32,39.02,4.28,0,0.02,2.32,43.33,82.1,0.22,26.89
39,2018-08-15 14:32,29.4,0.88,0,1.74,2.57,32.01,84.9,0.21,26.9
40,2018-08-15 14:32,25.2,0,0,0.85,1.36,26.05,86.94,0.23,26.92
41,2018-08-15 14:32,14,0.45,0.31,0.47,1.17,15.22,87.91,0.22,26.84
42,2018-08-15 14:32,6.83,1.02,0.51,0,1.39,8.35,88.42,0.23,26.87
43,2018-08-15 14:32,3.9,0.74,0,0.59,1.62,5.24,87.97,0.21,26.93
44,2018-08-15 14:32,1.91,0.48,0,0.52,1.82,2.91,88.1,0.23,26.91
45,2018-08-15 14:32,11.25,0.62,0,0.57,1.66,12.44,87.19,0.21,26.92
46,2018-08-15 14:32,13.97,7.44,0,1.98,1.83,23.38,84.83,0.23,26.93
47,2018-08-15 14:32,11.35,0.6,0.95,0.67,1.1,13.56,88.2,0.22,26.9
48,2018-08-15 14:32,9.91,0.53,0,1.06,1.83,11.49,87.66,0.21,26.91
