tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-08-14 11:01,15.03,2.41,0,0.25,1.51,17.69,85.03,0.26,23.41
2,2018-08-14 11:01,35.34,1.12,0,0.65,1.85,37.11,83.05,0.25,23.44
3,2018-08-14 11:01,21.78,0,0,0.95,1.1,22.73,86.08,0.24,23.46
4,2018-08-14 11:01,33.29,1.21,0,0,1.97,34.5,83.94,0.25,23.7
5,2018-08-14 11:01,29.06,0.49,0,0.37,1.54,29.91,82.14,0.25,23.76
6,2018-08-14 11:01,4.6,1.29,0,0.61,1.7,6.5,86.49,0.24,23.8
7,2018-08-14 11:01,16.3,0.84,0,0,1.6,17.14,85.74,0.25,23.96
8,2018-08-14 11:01,10.94,0.63,0,0,1.32,11.57,86.86,0.25,24.01
9,2018-08-14 11:01,5.05,0.69,1.23,0,1.16,6.98,87.42,0.26,24.15
10,2018-08-14 11:01,7.52,0.74,0,0.42,1.59,8.69,87.68,0.24,24.12
11,2018-08-14 11:01,14.1,0.74,0,0.14,2.16,14.98,85.68,0.25,24.2
12,2018-08-14 11:01,43.35,0,0,0,1.51,43.35,83.2,0.24,24.25
13,2018-08-14 11:01,31.55,0.89,0,0.07,1.61,32.52,85.08,0.25,24.35
14,2018-08-14 11:01,6.97,0.52,0,0.86,1.29,8.35,87.33,0.25,24.42
15,2018-08-14 11:01,28.17,0.81,0,0.49,1.89,29.46,84,0.24,24.49
16,2018-08-14 11:01,21.61,0,1.9,0,1.22,23.51,86.41,0.24,24.54
17,2018-08-14 11:01,9.35,0.47,0,0,1.2,9.82,87.85,0.24,24.61
18,2018-08-14 11:01,11.25,0.12,0,1,1.55,12.36,86.83,0.25,24.6
19,2018-08-14 11:01,43.97,0.74,0,0.44,1.33,45.15,82.09,0.26,24.77
20,2018-08-14 11:01,21.4,3.06,0,0,2.03,24.46,84.65,0.23,24.78
21,2018-08-14 11:01,24.44,0.9,0,0,1.86,25.34,85.82,0.24,24.74
22,2018-08-14 11:01,25,0.36,0,0.31,1.86,25.68,85.54,0.25,24.75
23,2018-08-14 11:01,19.82,0.7,0,0.39,1.53,20.9,86.55,0.24,24.79
24,2018-08-14 11:01,16.44,1,0,0,2.37,17.44,85.7,0.23,24.88
25,2018-08-14 11:01,22.97,2.24,0,0,2.78,25.21,85.12,0.24,24.92
26,2018-08-14 11:01,13.74,1.57,0,0.66,2.84,15.98,86.15,0.24,24.92
27,2018-08-14 11:01,24.65,1.85,0,0,1.71,26.5,84.75,0.25,25.03
28,2018-08-14 11:01,11.5,0.37,0,0.45,1.53,12.32,86.71,0.24,25.01
29,2018-08-14 11:01,29.51,1.62,0,0,2.15,31.13,82.16,0.25,25.1
30,2018-08-14 11:01,44.68,0.51,0,0,2.89,45.19,82.13,0.23,25.1
31,2018-08-14 11:01,19.36,0.09,0,0.68,1.22,20.13,86.27,0.24,25.14
32,2018-08-14 11:01,32.18,0.91,0,0,2.24,33.08,85.05,0.24,25.11
33,2018-08-14 11:01,15.83,0,2.87,0.16,1.11,18.86,87.16,0.23,25.22
34,2018-08-14 11:01,15.29,0.33,0,0.19,1.33,15.81,87.01,0.23,25.18
35,2018-08-14 11:01,49.52,1.03,0,0.06,1.9,50.61,82.09,0.23,25.3
36,2018-08-14 11:01,12.67,0.43,0,0.56,1.8,13.65,86.53,0.23,25.23
37,2018-08-14 11:01,27.68,0.99,0,0.17,1.81,28.84,86.26,0.24,25.19
38,2018-08-14 11:01,45.12,2.58,0,0.07,1.94,47.77,81.69,0.23,25.3
39,2018-08-14 11:01,32.48,0.59,0,1.34,2.14,34.42,84.65,0.23,25.37
40,2018-08-14 11:01,20.64,0,0,0.88,1.21,21.52,86.21,0.25,25.36
41,2018-08-14 11:01,13.25,0.58,0,0.19,1.01,14.02,87.47,0.24,25.4
42,2018-08-14 11:01,5.6,0.15,0,0.75,1.32,6.5,87.97,0.24,25.38
43,2018-08-14 11:01,4.11,1.12,0,0.27,1.8,5.5,86.84,0.24,25.39
44,2018-08-14 11:01,1.57,0.83,0,0.08,1.83,2.49,88.39,0.25,25.43
45,2018-08-14 11:01,7.85,0,0,1.25,1.63,9.1,87.55,0.23,25.46
46,2018-08-14 11:01,13.53,5.01,0,1.1,1.6,19.64,84.69,0.23,25.42
47,2018-08-14 11:01,8.15,1.04,0,0.62,1.39,9.81,87.91,0.23,25.51
48,2018-08-14 11:01,11.7,0.47,0,0.93,1.6,13.1,87.7,0.25,25.51
