tank,sample_date,week_number,temp,wattage,metacommunity,dispersal,ln_GPP_umol_L_h,benthic_chla_g_L,periphyton_chla_g_L,phytoplankton_chla_g_L,cyanobacteria_ugL,cryptophytes_ugL,diatoms_ugL,chlorophytes_ugL,total_fluoro_g_chla_L,total_fluoro_ug_C_L,ln_fluoro_ug_C_L,zoop_raw_g_L,ln_zoop_ug_L,volume,temp_K,inv_kT,inv_kTc,flowcam_particles_mL,diameter_mean,diameter_min,diameter_max,diameter_stdev,volume_mean,volume_min,volume_max,volume_stdev,carbon_g,X0.5um,X5.10um,X10.15um,X15.20um,X20.25um,X25.30um,X30.35um,X35.40um,X0_5um,X5_10um,X10_15um,X15_20um,X20_25um,X25_30um,X30_35um,X35_40um,prop_inedible,totalN,size_NMDS1,size_NMDS2,comp_NMDS1,comp_NMDS2
11,6/27/18,2,25.95076389,300,3,low,2.08755775,0.010166494,6.67e-05,8.28e-05,0.62,0.24,0.15,8.78,9.79e-06,489.5,2.689752696,1e-04,3.80666249,614.5135283,299.1007639,38.78601955,0.175955515,49026,5.25,1.68,22.77,6.01,219.52,2.86,7778.9,675.7,8.26e-06,34.2,54.9,6.3,2.1,1.4,0.6,0.2,0.2,1621.08,2602.26,298.62,99.54,66.36,28.44,9.48,9.48,4740,1.001678149,0.375514705,0.119884895,NA,NA
12,6/27/18,2,24.73125,200,3,low,NA,0.00574139,5.27e-05,0.0001862,0.95,0.48,0,4.2,5.63e-06,281.5,2.449478399,1e-04,3.80666249,588.0477308,297.88125,38.94480795,0.017167107,149138,5.28,12.64,94.03,10.38,34.31,0.8,2668,92,8.4e-06,71.4,25.9,2.3,0.2,0.1,0,0,0,1604.358,581.973,51.681,4.494,2.247,0,0,0,0,2.198251164,-0.013555568,-0.065315236,NA,NA
13,6/27/18,2,24.97430556,300,4,none,2.206500368,0.007038243,2.75e-05,0.0001854,1.09,0.46,0,8.75,1.03e-05,515,2.711807229,0.0015,6.514712691,618.5851895,298.1243056,38.91305693,0.048918131,76916,4.04,1.52,20.46,2.09,60.3,0.8,4487.3,199,3.76e-06,58.4,38.5,2,0.2,0.2,0,0,0,2723.192,1795.255,93.26,9.326,9.326,0,0,0,0,4.102958465,0.108841766,-0.096325511,NA,NA
14,6/27/18,2,22.2375,0,4,none,2.218112148,0.008967124,5.28e-05,0.0001442,0,0.87,1.23,4.26,6.36e-06,318,2.50242712,4e-04,5.192956851,663.3734622,295.3875,39.27359172,-0.31161666,12252,3.56,2.18,19.54,2.12,90.29,0.43,3909,424.5,2.57e-06,75,18.6,2.6,1.3,1.3,0,0,0,2133,528.984,73.944,36.972,36.972,0,0,0,0,3.146808762,-0.062241346,0.041601617,NA,NA
15,6/27/18,2,24.24173611,200,4,none,2.136143114,0.006269746,5.01e-05,0.0002102,1.15,0.25,0.77,5.88,8.05e-06,402.5,2.604765885,9e-04,6.003887067,659.301801,297.3917361,39.00891204,-0.046936976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.706893895,NA,NA,NA,NA
16,6/27/18,2,23.31222222,100,4,none,1.642286427,0.003755403,4.14e-05,0.0001346,1.16,0.78,0,3.68,5.61e-06,281,2.44870632,0.0046,7.635303886,701.1882632,296.4622222,39.13121877,-0.169243708,12394,4.84,3.02,23.5,7.14,165.9,14.46,6796.85,663.73,6.47e-06,67.9,26.9,3,1.5,0.75,0,0,0,1344.42,532.62,59.4,29.7,14.85,0,0,0,0,1.984195346,0.026245062,0.020878159,NA,NA
17,6/27/18,2,22.74569444,0,5,low,1.965065191,0.002291735,1.49e-05,0.000132,1.07,0.58,0,5.51,7.15e-06,358,2.553883027,5e-04,5.416100402,805.599095,295.8956944,39.20614018,-0.244165117,40723,4.26,1.07,19.44,2.56,60.67,2.15,2893.9,193,4.41e-06,67.5,26.4,4.8,0.8,0.4,0,0,0,1988.55,777.744,141.408,23.568,11.784,0,0,0,0,2.923634405,0.036633827,0.004022088,NA,NA
18,6/27/18,2,23.25055556,100,5,low,2.00560274,0.005936817,2.45e-05,0.0001872,0.41,0.59,0,6.25,7.25e-06,362.5,2.559308011,0.0012,6.29156914,694.3788611,296.4005556,39.13936009,-0.177385027,20398,4.46,0.83,22.29,7.18,123.1,0.3,5797.9,502.82,5.06e-06,50,44.6,3.8,0.4,0.4,0.4,0,0,1669,1488.748,126.844,13.352,13.352,13.352,0,0,1335.2,0.893089658,0.197470547,-0.037562336,NA,NA
19,6/27/18,2,24.96986111,300,5,low,1.925998104,0.005161587,2.1e-05,0.000197,0.63,0.49,0,9.14,1.03e-05,513,2.710117365,0.0042,7.544332108,618.5851895,298.1198611,38.91363706,0.048338005,71094,5.25,2.7,21.73,2.47,110.16,0.8,5370,404.34,8.26e-06,48.7,45.3,4.46,0.7,0.8,0.1,0,0,2372.177,2206.563,217.2466,34.097,38.968,4.871,0,0,487.1,0.550857323,0.209104911,-0.012887273,NA,NA
20,6/27/18,2,24.050625,200,5,low,1.979433894,0.006872351,4.88e-05,0.0001216,1.56,0.26,0,4.43,6.24e-06,312.5,2.494850022,5e-04,5.416100402,573.7969167,297.200625,39.03399622,-0.072021164,73507,3.78,2.1,20.36,2.21,48.9,0.8,4419.1,290.3,3.08e-06,82.8,14.7,1.3,0.53,0.43,0.1,0,0,1956.564,347.361,30.719,12.5239,10.1609,2.363,0,0,236.3,0.696743688,-0.154043004,-0.010654342,NA,NA
21,6/27/18,2,23.76416667,100,6,high,1.631501145,0.005948605,4.18e-05,0.000101,0.32,0.64,0,4.47,5.43e-06,271.5,2.433769834,1e-04,3.80666249,598.2268837,296.9141667,39.07165564,-0.109680578,50266,3.77,1.17,18.78,2.01,60.58,0.85,3468.5,171.8,3.06e-06,64.2,31.3,2.4,1.1,0.3,0,0,0,1536.948,749.322,57.456,26.334,7.182,0,0,0,0,2.268866433,0.055281031,-0.018483404,NA,NA
22,6/27/18,2,24.44847222,200,6,high,2.128666055,0.005596887,4.68e-05,0.00039728,0,0.75,4.01,4.58,9.33e-06,467,2.669316881,1e-04,3.80666249,705.7278646,297.5984722,38.98181327,-0.019838212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.568146549,NA,NA,NA,NA
23,6/27/18,2,22.46361111,0,6,high,2.044115514,0.005162258,1.66e-05,0.0002088,0.69,0.24,0,5.77,6.69e-06,335,2.525044807,1e-04,3.80666249,705.7278646,295.6136111,39.24355185,-0.281576786,33359,3.99,2.01,19.13,2.11,74.31,4.27,3667,258.08,3.62e-06,65.1,31.1,2.7,0.5,0.7,0,0,0,2000.523,955.703,82.971,15.365,21.511,0,0,0,0,1.921072014,0.049491569,-0.024109746,NA,NA
24,6/27/18,2,25.54513889,300,6,high,2.081340224,0.010675524,1.57e-05,0.00012,0.97,0.47,0,4.15,5.58e-06,279.5,2.446381812,1e-04,3.80666249,541.2236274,298.6951389,38.83869057,0.12328449,51437,4.58,1.58,26.59,2.8,119.5,0.7,5146,486,5.48e-06,56.5,36.1,4,1.2,0.6,0.8,0.15,0.15,1254.3,801.42,88.8,26.64,13.32,17.76,3.33,3.33,2442,0.98565395,0.157128116,0.057728235,NA,NA
25,6/27/18,2,24.41944444,200,7,low,2.210586059,0.006175519,0.00011145,0.0003242,0,0.28,4.82,6.22,1.13e-05,566,2.752816431,1e-04,3.80666249,638.9434952,297.5694444,38.98561593,-0.023640872,55293,6.56,1.67,20.9,2.09,178,0.76,4781.7,268.3,1.61e-05,21.9,73,4.3,0.3,0,0,0,0,1201.653,4005.51,235.941,16.461,0,0,0,0,0,1.415748664,0.485280337,-0.181868203,NA,NA
26,6/27/18,2,25.47159722,300,7,low,2.084896543,0.010123207,3.45e-05,0.0002264,0,1.36,0,6.27,7.63e-06,381.5,2.581494542,0.0034,7.333023014,547.3311192,298.6215972,38.84825539,0.113719669,42888,4.89,2.61,29.12,2.89,64.2,0.62,5656.8,387.9,6.67e-06,77.4,21.1,0.6,0,0.7,0.2,0,0,2609.928,711.492,20.232,0,23.604,6.744,0,0,674.4,1.850775984,-0.110321582,-0.092095823,NA,NA
27,6/27/18,2,23.99465278,100,7,low,1.880452182,0.006799478,2.35e-05,0.00012,0.8,0.2,0,9.72,1.07e-05,536,2.72916479,3e-04,4.905274778,667.4451234,297.1446528,39.04134894,-0.079373878,55551,5.32,2.43,19.76,2.53,146.7,5,4038.6,390.6,8.59e-06,32.5,61.7,4.3,0.7,0.85,0,0,0,1680.25,3189.89,222.31,36.19,43.945,0,0,0,0,1.063074089,0.361720262,-0.04723082,NA,NA
28,6/27/18,2,22.90895833,0,7,low,2.041608121,0.008135678,0.000785587,0.0001582,1.31,0.32,0,2.97,4.6e-06,230,2.361727836,4e-04,5.192956851,679.6601068,296.0589583,39.18451966,-0.222544603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.555270343,NA,NA,NA,NA
29,6/27/18,2,23.34472222,100,8,high,2.043741999,0.009114422,0.001062275,9.3e-05,0.22,0.92,0,3.51,4.64e-06,232.5,2.366422957,3e-04,4.905274778,658.7341433,296.4947222,39.12692944,-0.164954375,25187,4.97,1.68,22.16,2.59,110.9,0.8,4841.7,390.9,7.01e-06,43.3,51.1,2.5,0.9,0.9,0.3,0,0,819.669,967.323,47.325,17.037,17.037,5.679,0,0,567.9,0.492751023,0.252462458,-0.013805256,NA,NA
30,6/27/18,2,23.86666667,200,8,high,2.071253392,0.00826704,3.97e-05,0.0001434,0.67,0.4,0.17,2.7,3.93e-06,197,2.294466226,2e-04,4.49980967,657.542182,297.0166667,39.05817207,-0.096197009,21863,6.25,3.18,23.36,3.23,222,0.8,6674.8,687.1,1.39e-05,33.5,51.5,9.4,3,1.1,1.1,0.4,0,510.54,784.86,143.256,45.72,16.764,16.764,6.096,0,2286,0.711115541,0.384417437,0.146262174,NA,NA
31,6/27/18,2,22.06923611,0,8,high,1.531217369,0.00388058,7.95e-06,0.0001046,1.18,0.67,0,1.21,3.06e-06,153,2.184691431,2e-04,4.49980967,780.6312874,295.2192361,39.29597619,-0.334001134,14697,6.3,1.58,19.76,3.09,160.7,0.7,4038.6,379.3,1.43e-05,39,45.5,11.8,2.1,1.6,0,0,0,258.96,302.12,78.352,13.944,10.624,0,0,0,0,1.308712643,0.328528657,0.074705111,NA,NA
32,6/27/18,2,24.869375,300,8,high,1.674571485,0.006721483,1.61e-05,9.02e-05,0.93,0.05,0.3,5.08,6.37e-06,318,2.50242712,NA,NA,628.7643424,298.019375,38.92675795,0.035217113,30925,5.18,1.45,23.39,6.65,166.2,0.8,5361.8,579.1,7.93e-06,40.9,48.3,7.4,1.5,1,0.8,0,0,1159.924,1369.788,209.864,42.54,28.36,22.688,0,0,2268.8,1.297179594,0.293422137,0.065768317,NA,NA
33,6/27/18,2,22.09694444,0,9,none,1.764391097,0.005405511,3.48e-05,6.26e-05,0.69,0.44,0,1.8,2.93e-06,146.5,2.165837625,4e-04,5.192956851,746.584277,295.2469444,39.29228835,-0.330313286,5959,7.34,3.35,18.88,4.01,206.14,0.8,3524.7,521,2.26e-05,59.1,25,3.95,9.2,2.6,0,0,0,573.27,242.5,38.315,89.24,25.22,0,0,0,0,3.074341535,0.106274866,0.185307602,NA,NA
34,6/27/18,2,23.06291667,100,9,none,1.909560785,0.007172548,2.81e-05,0.0001164,0.03,1.04,0,7.37,8.44e-06,422,2.625312451,6e-04,5.598421959,746.584277,296.2129167,39.16415329,-0.202178227,3902,3.45,1.57,9.38,1.74,49.3,0.8,431.9,74.6,2.34e-06,58,38,2,0,0,0,0,0,2289.26,1499.86,78.94,0,0,0,0,0,0,0.929352092,0.111188484,-0.159572165,NA,NA
35,6/27/18,2,25.19923611,300,9,none,1.97184465,0.004290951,3.55e-05,0.0001664,1.42,0.25,0,5.84,7.51e-06,375.5,2.574609941,0.0048,7.677863501,592.1193919,298.3492361,38.88371972,0.078255345,41302,3.96,1.43,24.56,8.36,23.5,0.8,2980.3,132.7,3.54e-06,79,20.6,0,0,0.2,0,0,0,2457.69,640.866,0,0,6.222,0,0,0,0,2.33788644,-0.148423779,-0.180745652,NA,NA
36,6/27/18,2,24.07625,200,9,none,2.077469941,0.006810109,0.000850409,0.0001364,1.56,0.2,0,5.86,7.62e-06,381,2.580924976,9e-04,6.003887067,663.7505885,297.22625,39.03063096,-0.068655896,37579,3.96,1.43,24.56,8.36,111.8,0.8,3873.4,306.1,3.54e-06,42,50,6.3,0.6,0.6,0.2,0,0,1310.82,1560.5,196.623,18.726,18.726,6.242,0,0,624.2,2.712878666,0.278759337,-0.021671123,NA,NA
37,6/27/18,2,24.38395833,200,10,high,2.127470087,0.006823908,4e-05,0.000162,0.44,0.58,0,4.67,5.69e-06,284.5,2.454082271,NA,NA,624.6926812,297.5339583,38.99026565,-0.028290586,39544,4.77,2.83,22.2,8.36,105.4,0.8,3873.4,301.4,6.19e-06,46.7,46.1,5.8,0.6,0.6,0.2,0,0,1167.033,1152.039,144.942,14.994,14.994,4.998,0,0,499.8,1.959441455,0.234358667,-0.017089329,NA,NA
38,6/27/18,2,25.06381944,300,10,high,1.746230006,0.00786791,3.29e-06,5.7e-05,0.72,0.58,0,6.04,7.34e-06,367,2.564666064,5e-04,5.416100402,608.4060366,298.2138194,38.90137652,0.060598538,42555,4.3,2.3,21.47,5.81,50.2,0.8,3398.8,158.1,4.54e-06,58.7,40,0.9,0,0.2,0,0,0,1894.249,1290.8,29.043,0,6.454,0,0,0,0,5.106568432,0.099349075,-0.172350628,NA,NA
39,6/27/18,2,23.54888889,100,10,high,2.179367153,0.010704837,4.7e-05,8.58e-05,1.22,0.85,0,7.5,9.57e-06,478.5,2.679881942,2e-04,4.49980967,638.9434952,296.6988889,39.10000512,-0.138030058,25897,4.61,1.7,25.43,6.97,88.4,0.8,5179,361.4,5.59e-06,64.5,31.5,1.6,2.2,0.2,0,0,0,2587.095,1263.465,64.176,88.242,8.022,0,0,0,0,1.483628471,0.062697941,-0.009017603,NA,NA
40,6/27/18,2,22.25944444,0,10,high,2.000305313,0.006622641,4.55e-06,0.0002144,1.84,0.97,0,3.5,6.31e-06,315.5,2.498999364,0.0019,6.751101469,659.301801,295.4094444,39.27067429,-0.308699228,28862,5.33,3.2,23.43,2.41,60.4,0.8,3502.9,196.7,8.64e-06,59.1,37.3,3,0.3,0.3,0.3,0,0,1117.581,705.343,56.73,5.673,5.673,5.673,0,0,567.3,3.125321612,0.11308172,-0.04775876,NA,NA
41,6/27/18,2,21.61388889,0,11,none,2.126237288,0.003708198,1.3e-05,0.0001258,0.36,0.89,0,2.96,4.21e-06,210.5,2.3232521,4e-04,5.192956851,769.282284,294.7638889,39.35668008,-0.39470502,15888,4.19,1.48,20.08,6.36,77.8,0.8,3586.3,314.8,4.2e-06,67,30,1,1,1,0,0,0,1072,480,16,16,16,0,0,0,0,13.24040308,0.023333451,-0.019547419,NA,NA
42,6/27/18,2,22.45354167,100,11,none,1.887711235,0.00432616,3.38e-05,4.58e-05,0.25,0.51,0,0.39,1.14e-06,57.5,1.759667845,1e-04,3.80666249,679.6601068,295.6035417,39.24488864,-0.282913579,71251,3.72,2.17,23.6,1.9,36,0.8,3008,173.3,2.94e-06,79.4,19.2,0.7,0.4,0.2,0,0,0,177.062,42.816,1.561,0.892,0.446,0,0,0,0,2.122708604,-0.119761688,-0.065131836,NA,NA
43,6/27/18,2,25.18993056,300,11,none,2.094937536,0.008908524,2.1e-05,0.000493,0.79,0.27,0,5.39,6.45e-06,322.5,2.508529719,1e-04,3.80666249,618.5851895,298.3399306,38.88493254,0.077042519,4079,8.52,3.07,22.02,4.74,402.3,0.8,5588.9,1173.2,3.53e-05,61.5,25,3.9,1.9,7.7,0,0,0,1766.28,718,112.008,54.568,221.144,0,0,0,0,1.454038422,0.080195164,0.152102167,NA,NA
44,6/27/18,2,23.95479167,200,11,none,2.302395422,0.006976328,3.8e-05,0.000215,0.27,0.79,0,2.2,3.26e-06,163,2.212187604,3e-04,4.905274778,526.9728134,297.1047917,39.04658693,-0.084611866,2260,4.37,2.5,10.23,1.98,74.62,8.2,560.3,114.6,4.76e-06,65.6,28.1,6.3,0,0,0,0,0,782.608,335.233,75.159,0,0,0,0,0,0,1.245395587,0.066607642,-0.129520993,NA,NA
45,6/27/18,2,23.258125,100,12,low,1.872580885,0.004935845,2.06e-05,0.0001434,0.61,0.3,0,5.66,6.58e-06,328.5,2.516535374,1e-04,3.80666249,728.4258715,296.408125,39.13836058,-0.176385517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.935803411,NA,NA,NA,NA
46,6/27/18,2,24.01173611,200,12,low,2.10986904,0.007518797,8.43e-05,0.0001176,0.18,0.82,0,1.39,2.39e-06,119.5,2.077367905,3e-04,4.905274778,628.7643424,297.1617361,39.03910452,-0.077129456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.929170824,NA,NA,NA,NA
47,6/27/18,2,22.41569444,0,12,low,2.018420275,0.006804957,0.00067885,0.000228,0,1.02,2.39,9.59,1.3e-05,650,2.812913357,0.0016,6.579251212,651.2290465,295.5656944,39.24991395,-0.287938893,6963,6.97,3.8,17.53,3.56,105,0.8,2722.7,363.2,1.93e-05,77.5,13.5,3.4,4.5,1.1,0,0,0,4808.1,837.54,210.936,279.18,68.244,0,0,0,0,0.575731753,-0.103431316,0.124414586,NA,NA
48,6/27/18,2,25.19076389,300,12,low,2.119527942,0.013666797,2.94e-05,0.0001134,0.2,0.37,0,7.77,8.34e-06,417,2.620136055,4e-04,5.192956851,612.4776977,298.3407639,38.88482393,0.077151133,13926,8.49,1.43,19.78,4.88,109.81,0.8,4050.7,503,3.49e-05,81.5,14,1.1,1.1,2.3,0,0,0,3373.285,579.46,45.529,45.529,95.197,0,0,0,0,1.349290655,-0.162077869,0.048033502,NA,NA
1,7/11/18,4,23.75208333,100,1,high,2.361066929,0.002954619,0.000520215,0.0001112,0.25,0.33,0,14.37,1.5e-05,747.5,2.873611197,0.00013,4.069026754,791.9802909,296.9020833,39.07324578,-0.111270719,4148,6.7,2.82,13.68,2.97,220.16,33.84,1341.52,288.09,1.72e-05,44.3,46,6.6,3.3,0,0,0,0,3386.292,3516.24,504.504,252.252,0,0,0,0,0,13.47309145,0.304999621,-0.004635201,0.09109688,0.158964692
2,7/11/18,4,24.33923611,200,1,high,2.433548018,0.010277858,0.000240369,0.0001384,0,0.01,4.81,12.44,1.73e-05,863,2.936010796,0.00027,4.799914263,723.8862701,297.4892361,38.99612714,-0.03415208,1873,5.09,2.54,8.33,1.3,81.51,8.57,303.09,62.61,7.52e-06,85.5,14.5,0,0,0,0,0,0,7505.19,1272.81,0,0,0,0,0,0,0,0.400407117,-0.249691801,-0.186840518,-0.028745711,0.31682018
3,7/11/18,4,22.783125,0,1,high,2.100364182,0.004942861,0.000167216,5.76e-05,0.02,0.25,0,11.16,1.14e-05,571.5,2.757016235,0.00036,5.087596335,950.8663393,295.933125,39.20118126,-0.239206201,3126,5.55,0.88,19.42,3.56,235.14,0.36,3832.44,641.95,9.75e-06,57.3,35.96,4.49,1.12,0,1.12,0,0,3401.328,2134.5856,266.5264,66.4832,0,66.4832,0,0,6648.32,0.658264662,0.158531109,0.013264784,-0.029623596,0.176178557
4,7/11/18,4,25.27055556,300,1,high,2.295896169,0.004420354,2e-04,0.0001292,0.75,0.62,0,10.66,1.2e-05,601.5,2.779235632,0.00072,5.780743516,735.2352736,298.4205556,38.87442691,0.087548155,8218,6.72,2.48,14.89,2.41,70.2,0.8,664.5,111.8,1.73e-05,57.1,37.1,3.8,0,0,0,0,0,3244.422,2108.022,215.916,0,0,0,0,0,0,0.326032053,0.13700896,-0.134550711,0.611510102,0.00020778
5,7/11/18,4,24.60527778,200,2,none,2.417686724,0.007348932,0.00029686,0.0002154,0.07,0.92,0,8.92,9.92e-06,495.5,2.695043659,0.00138,6.431331082,757.9332805,297.7552778,38.96128445,0.00069061,10903,4.29,2.47,25.23,6.82,42,0.8,1239.6,123.6,4.51e-06,77,20.9,1.4,0.7,0,0,0,0,3670.59,996.303,66.738,33.369,0,0,0,0,0,0.462528657,-0.084245134,-0.064592588,0.453435707,-0.629151393
6,7/11/18,4,25.21409722,300,2,none,2.255017766,0.005973873,0.000634891,0.000207,0,0.91,1.33,6.96,9.2e-06,460,2.662757832,0.00388,7.465082736,746.584277,298.3640972,38.88178297,0.08019209,3643,6.32,5.24,10.08,1.35,32.7,0.8,193.1,45.4,1.44e-05,66.7,33.3,0,0,0,0,0,0,2884.775,1440.225,0,0,0,0,0,0,0,0.561874611,0.015459921,-0.253867277,0.348971609,0.155369583
7,7/11/18,4,23.77708333,100,2,none,2.341982706,0.004662388,0.000149987,0.0002766,0,0.43,1.76,9.95,1.21e-05,607,2.783188691,0.00146,6.487684018,860.0743116,296.9270833,39.06995598,-0.107980917,1014,6.03,2.9,19.78,4.39,84.5,12.8,370.7,100.4,1.25e-05,27.3,63.6,0,0,0,0,0,0,1663.389,3875.148,0,0,0,0,0,0,0,2.327308788,0.407975254,-0.392618073,0.310609166,0.017379202
8,7/11/18,4,22.57416667,0,2,none,2.194736913,0.004746411,0.000232223,0.0001128,0.46,0,1,5.19,6.66e-06,332.5,2.52179165,0.00028,4.836281907,882.7723186,295.7241667,39.22888077,-0.266905707,2110,4.45,1.79,16.32,4.41,192.9,2.6,960.7,258.5,5.03e-06,18.5,59.3,18.5,3.7,0,0,0,0,593.48,1902.344,593.48,118.696,0,0,0,0,0,1.456385827,0.597446891,0.034762189,0.62779385,0.127077858
