tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,?g/l,?g/l,?g/l,?g/l,r.u.,?g/l,%,m,?C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,?C,?C
1,2018-08-22 14:48,21.13,3.09,0,0,1.64,24.22,84.2,0.22,23.48,11198,3089,0,0,0,0,0,0,14287,515.1,17.77,8.74,22.94,50.76,28.54,76.1,1.02,24.17,23.63
2,2018-08-22 14:48,48.04,0.44,0,0,2.29,48.48,80.77,0.22,23.58,25464,438,0,0,0,0,0,0,25902,494.11,28.55,11.56,29.44,93.12,37.39,156.97,1.02,24.68,23.83
3,2018-08-22 14:48,13.04,2.85,1.23,0,1.45,17.12,85.35,0.23,23.69,6912,2848,553,0,0,0,0,0,10313,522.13,17.03,5.03,19.11,39.21,22.75,56.22,1.02,24.96,23.94
4,2018-08-22 14:48,40.25,1.41,0,0.12,1.73,41.79,81.65,0.21,23.81,21335,1410,0,4,0,0,0,0,22748,499.54,25.88,10.29,28.05,76.56,35.95,130.54,1.02,25.14,24.19
5,2018-08-22 14:48,46.74,0,0,0.6,1.66,47.34,79.56,0.2,23.89,24775,0,0,18,0,0,0,0,24793,486.75,30.23,11.46,26.48,84.02,36.71,150.38,1.02,25.3,24.23
6,2018-08-22 14:48,7.59,0.81,0.46,0.38,1.8,9.24,85.23,0.2,23.99,4022,811,205,11,0,0,0,0,5049,521.43,13.21,5.17,10.37,34.27,12.34,42.64,1.02,25.43,24.63
7,2018-08-22 14:48,34.12,0.62,0,0,1.65,34.75,83.5,0.23,24.12,18084,624,0,0,0,0,0,0,18709,510.81,20.88,7.83,21.03,66.67,29.13,111.86,1.02,25.51,24.86
8,2018-08-22 14:48,14.95,0,3.71,0,0.82,18.66,85.45,0.21,24.23,7924,0,1670,0,0,0,0,0,9594,522.73,17.91,4.37,9.92,35.58,13.39,65.01,1.02,25.62,24.84
9,2018-08-22 14:48,8.72,0,0,0.79,1.17,9.5,87.14,0.22,24.3,4620,0,0,24,0,0,0,0,4643,533.1,11.89,3.59,7.8,27.65,11.8,39.65,1.02,25.77,25.11
10,2018-08-22 14:48,15.16,0.07,0,0.7,1.63,15.93,86.02,0.2,24.42,8033,69,0,21,0,0,0,0,8124,526.26,15.7,4.46,11.8,41.71,16.41,61.71,1.02,25.77,25.28
11,2018-08-22 14:48,24.01,0.75,0,0,2.41,24.76,83.92,0.22,24.37,12725,748,0,0,0,0,0,0,13474,513.38,19.33,6.13,17.24,62.03,22.56,90.94,1.02,25.78,25.43
12,2018-08-22 14:48,43.79,1.22,0,0.08,1.7,45.09,80.9,0.2,24.58,23209,1219,0,2,0,0,0,0,24431,494.92,27.21,9.1,29.12,80.66,37.69,139.91,1.02,25.87,25.65
13,2018-08-22 14:48,38.87,1.34,0,0,1.63,40.21,83.33,0.21,24.54,20600,1343,0,0,0,0,0,0,21943,509.76,23.32,10.64,27.3,73.48,33.78,125.13,1.02,26.01,25.79
14,2018-08-22 14:48,13.9,0,0.65,0.86,1.26,15.42,86.33,0.2,24.71,7366,0,295,26,0,0,0,0,7687,528.16,16.12,5.28,11.83,37.01,15.92,57.81,1.02,26.06,26.02
15,2018-08-22 14:48,47.11,2.11,0,0,1.7,49.22,79.95,0.21,24.68,24969,2107,0,0,0,0,0,0,27076,489.09,27.29,11.39,32.52,86.11,44.14,149.18,1.02,26.08,26.39
16,2018-08-22 14:48,13.01,0,2.97,0.43,1.27,16.4,86.23,0.21,24.98,6897,0,1334,13,0,0,0,0,8244,527.54,18.49,5.21,11.32,38.84,15.85,62.03,1.02,26.15,26.56
17,2018-08-22 14:48,7.53,0,1.3,0.18,1.04,9.01,87.16,0.23,24.99,3992,0,585,5,0,0,0,0,4582,533.25,11.06,4.06,6.65,25.41,8.96,37.07,1.02,26.22,26.68
18,2018-08-22 14:48,10.53,0.31,0,0.28,1.51,11.11,87.07,0.2,25,5580,305,0,8,0,0,0,0,5893,532.7,11.78,4.47,9.14,33.44,11.68,45.73,1.02,26.38,26.81
19,2018-08-22 14:48,44.22,3.5,0,0.11,1.83,47.82,79.63,0.2,25.12,23435,3497,0,3,0,0,0,0,26935,487.16,29.88,12.74,36.38,84.65,47.05,143.21,1.02,26.31,26.94
20,2018-08-22 14:48,15.34,2.81,0,0.4,1.83,18.54,84.49,0.21,25.17,8130,2807,0,12,0,0,0,0,10949,516.92,17.87,7.09,19.93,45.74,25.61,63.59,1.02,26.46,27.2
21,2018-08-22 14:48,23.88,1.12,0,0,1.87,25,84.7,0.21,25.03,12658,1116,0,0,0,0,0,0,13774,518.18,18.31,5.9,18.09,55.66,23.37,85.5,1.02,26.42,27.04
22,2018-08-22 14:48,22.91,0.79,0,0.35,1.93,24.05,84.45,0.21,25.08,12143,789,0,11,0,0,0,0,12943,516.63,18.56,5.91,15.79,55.64,24.7,84.9,1.02,26.45,27.03
23,2018-08-22 14:48,23.47,0,0,0.42,1.41,23.89,86.02,0.2,25.19,12437,0,0,13,0,0,0,0,12449,526.26,17.62,5.98,14.34,49.57,20.57,81.61,1.02,26.52,27.22
24,2018-08-22 14:48,12.98,0.9,0,0,2.4,13.88,84.74,0.2,25.24,6881,897,0,0,0,0,0,0,7778,518.43,13.95,6.05,12.01,47.39,15.3,60.07,1.02,26.67,27.41
25,2018-08-22 14:48,24.93,2.23,0,0.06,2.58,27.21,84.71,0.21,25.18,13210,2227,0,2,0,0,0,0,15439,518.26,21.85,8.84,22.64,66.59,29.15,95.89,1.02,26.52,27.49
26,2018-08-22 14:48,26.09,1.88,0,0,3.74,27.96,82.52,0.18,25.33,13827,1876,0,0,0,0,0,0,15703,504.85,23.18,9.86,21.64,82.01,30.49,109.99,1.02,26.54,27.51
27,2018-08-22 14:48,29.6,2.36,0,0,2.04,31.96,82.84,0.2,25.32,15689,2362,0,0,0,0,0,0,18050,506.82,21.69,7.53,25.01,66.45,32.64,103.53,1.02,26.52,27.66
28,2018-08-22 14:48,7.45,0.84,0.27,0,1.17,8.55,86.19,0.2,25.39,3948,835,122,0,0,0,0,0,4905,527.3,9.56,4.24,8.82,25.43,9.88,33.68,1.02,26.59,27.62
29,2018-08-22 14:48,37.09,0.95,0,0.01,1.73,38.06,83.67,0.21,25.36,19658,954,0,0,0,0,0,0,20613,511.85,24.21,7.45,25.47,71.6,30.98,121.09,1.02,26.61,27.72
30,2018-08-22 14:48,42.03,1.08,0,0.36,1.9,43.46,83.72,0.21,25.42,22273,1078,0,11,0,0,0,0,23363,512.16,27.51,10.45,28.01,81.39,37.83,138.25,1.02,26.68,27.74
31,2018-08-22 14:48,15.23,0,0,0.8,1.5,16.03,85.91,0.2,25.43,8070,0,0,24,0,0,0,0,8094,525.56,15.95,4.82,10.85,40.33,16.71,61.3,1.02,26.7,27.74
32,2018-08-22 14:48,28.75,0.81,0,0.13,2.19,29.68,85.05,0.22,25.53,15236,808,0,4,0,0,0,0,16048,520.29,21.21,7.99,19.79,66.25,26.68,102.73,1.02,26.66,27.79
33,2018-08-22 14:48,16.12,0,2.74,0,0.99,18.86,86.4,0.2,25.46,8543,0,1234,0,0,0,0,0,9776,528.54,16.9,5.26,10.04,37.94,14.42,65.98,1.02,26.65,27.95
34,2018-08-22 14:48,19.77,0,1.55,0.03,1,21.35,85.46,0.21,25.42,10481,0,696,1,0,0,0,0,11177,522.8,16.4,5.24,13,41.5,16.86,71.17,1.02,26.65,28.02
35,2018-08-22 14:48,33.61,0.9,3.35,2.18,2.41,40.04,80.23,0.2,25.55,17815,899,1508,65,0,0,0,0,20286,490.8,40.03,11.88,32.68,85.16,41.41,140.47,1.02,26.76,27.97
36,2018-08-22 14:48,16.78,0.59,0,0.43,1.99,17.81,84.73,0.22,25.57,8895,595,0,13,0,0,0,0,9503,518.37,16.71,5.3,13.74,48.06,18.66,68.65,1.02,26.68,28.11
37,2018-08-22 14:48,26.99,1.07,0,0,1.79,28.06,85.24,0.2,25.49,14305,1068,0,0,0,0,0,0,15373,521.47,18.47,8.22,19.35,59.18,25.38,93.44,1.02,26.73,28.1
38,2018-08-22 14:48,19.53,5.42,0,0.05,2.09,24.99,83.61,0.2,25.62,10349,5416,0,1,0,0,0,0,15767,511.53,21.7,8.91,29.35,55.49,37.39,76.9,1.02,26.75,28.09
39,2018-08-22 14:48,21.46,2.31,0,0,2.79,23.77,85.08,0.19,25.59,11376,2310,0,0,0,0,0,0,13686,520.49,20.06,9.01,21.14,64.44,26.93,87.92,1.02,26.74,28.19
40,2018-08-22 14:48,15.3,1.66,0,0.19,1.76,17.16,86.67,0.18,25.6,8111,1663,0,6,0,0,0,0,9780,530.24,15.09,7.08,14.98,43.65,20.71,61.41,1.02,26.74,28.21
41,2018-08-22 14:48,20.27,0,2.93,0,0.78,23.2,86.83,0.2,25.63,10744,0,1320,0,0,0,0,0,12063,531.18,18.61,6.21,13.04,41.6,17.83,75.84,1.02,26.79,28.28
42,2018-08-22 14:48,18.35,0.74,0,0,1.77,19.08,85.72,0.22,25.63,9724,737,0,0,0,0,0,0,10461,524.43,14.2,4.36,14.26,46.91,18.01,68.94,1.02,26.81,28.22
43,2018-08-22 14:48,6.36,0.41,0,0.5,1.59,7.26,86.76,0.2,26.31,3369,410,0,15,0,0,0,0,3793,530.78,11.17,3.52,7.63,29.24,10.6,35.88,1.02,27.12,29
44,2018-08-22 14:48,0.73,1.08,0,0.19,1.89,2,87.47,0.18,26.31,388,1084,0,6,0,0,0,0,1478,535.14,8.44,2.5,4.83,25.09,9.37,21.8,1.02,27.09,29.18
45,2018-08-22 14:48,5.76,0,0,0.83,1.37,6.59,87.41,0.2,26.36,3053,0,0,25,0,0,0,0,3078,534.75,11.25,3.59,6.61,26.15,9.98,33.48,1.02,27.21,29.28
46,2018-08-22 14:48,13.2,9.89,0,0.14,1.56,23.23,79.48,0.19,26.33,6996,9890,0,4,0,0,0,0,16890,486.26,22.89,12.53,41.07,43.93,48.97,55.8,1.02,27.21,29.14
