tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,°C,°C
27,2018-07-27 10:31,14.9,1.32,0,0.79,1.68,17.01,86.23,0.26,28.3,7898,1318,0,24,0,0,0,0,9239,527.5,17.15,5.65,15.32,43.06,21.92,62.25,1.03,29.35,31.12
28,2018-07-27 10:31,5.3,0.99,0,0.08,1.3,6.37,86.81,0.25,28.29,2810,990,0,2,0,0,0,0,3802,531.08,8.75,3.59,7.56,23.88,9.89,28.32,1.02,29.48,31.06
29,2018-07-27 10:31,23.91,0.74,0,0.57,1.52,25.22,85.91,0.26,28.28,12675,738,0,17,0,0,0,0,13430,525.58,19.4,7.07,18.38,52.53,23.99,84.77,1.03,29.3,31.09
30,2018-07-27 10:31,14.7,0.88,0,0.88,1.47,16.46,86.43,0.26,28.29,7793,884,0,26,0,0,0,0,8703,528.75,16.44,6.22,14.36,40.25,19.88,59.98,1.03,29.35,31.21
31,2018-07-27 10:31,6.69,0.14,0,1.07,1.6,7.89,86.65,0.24,28.28,3546,136,0,32,0,0,0,0,3714,530.08,13.25,4.87,8.45,30.89,12.36,39.49,1.02,29.27,31.2
32,2018-07-27 10:31,25.03,0.6,0,0.24,1.66,25.88,85.6,0.25,28.25,13264,604,0,7,0,0,0,0,13876,523.7,18.57,6.72,17.23,54.94,23.38,87.68,1.02,29.37,31.18
33,2018-07-27 10:31,12.21,0.34,0,0.67,1.3,13.22,87.17,0.25,28.17,6472,341,0,20,0,0,0,0,6834,533.26,13.15,5.67,10.11,34.13,15.42,50.24,1.02,29.27,31.16
34,2018-07-27 10:31,18.77,0.75,0,0.28,1.46,19.8,86.81,0.25,28.15,9946,749,0,8,0,0,0,0,10704,531.07,15.67,5.9,14.59,44.2,19.35,68.39,1.02,29.32,31.17
35,2018-07-27 10:31,26.14,0.85,0,0.66,1.9,27.66,84.46,0.26,28.26,13856,854,0,20,0,0,0,0,14729,516.7,21.22,8.72,19.25,60.4,27.7,95.07,1.03,29.36,31.15
36,2018-07-27 10:31,13.12,0,0,0.78,1.78,13.91,86.1,0.26,28.25,6955,0,0,24,0,0,0,0,6978,526.74,15.98,5.58,9.85,40.69,14.85,58.13,1.03,29.27,31.17
37,2018-07-27 10:31,6.14,1.28,1.18,0.17,1.9,8.78,87.08,0.26,28.2,3256,1283,531,5,0,0,0,0,5075,532.74,13.87,4.29,10.63,34.49,13.47,41.37,1.03,29.33,31.21
38,2018-07-27 10:31,25.38,1.26,0,0.42,2.16,27.06,84.45,0.24,28.16,13452,1256,0,13,0,0,0,0,14721,516.65,21.08,8.7,19.84,62.25,27.64,94.45,1.02,29.33,31.17
39,2018-07-27 10:31,13.72,1.48,0,0.24,1.85,15.43,86.63,0.27,27.97,7269,1480,0,7,0,0,0,0,8757,529.96,14.76,4.81,13.2,42.48,19.96,58.07,1.03,29.27,31.17
40,2018-07-27 10:31,9.81,0.95,0,0.95,1.84,11.71,86.74,0.25,28.11,5201,950,0,28,0,0,0,0,6179,530.67,15.36,6.02,11.88,38.34,17.86,50.24,1.02,29.27,31.1
41,2018-07-27 10:31,11.95,0.62,0,0.59,1.11,13.16,86.75,0.24,28.06,6336,615,0,18,0,0,0,0,6968,530.73,12.61,4.76,10.36,31.45,16,47.4,1.02,29.23,31.25
42,2018-07-27 10:31,12.19,0.38,0,0.6,1.21,13.17,86.91,0.26,28.03,6459,381,0,18,0,0,0,0,6858,531.7,12.86,4.52,10.01,32.8,15.27,48.99,1.03,29.34,31.19
43,2018-07-27 10:31,7.93,1,0,0.48,1.62,9.41,86.71,0.25,28.03,4202,999,0,14,0,0,0,0,5216,530.45,12.02,5.61,9.72,32.25,14.26,40.66,1.02,29.3,31.19
44,2018-07-27 10:31,5.2,0.76,0,1.21,1.65,7.17,85.76,0.26,28.02,2756,763,0,36,0,0,0,0,3555,524.63,13.89,5.59,10,30.13,14.42,36.57,1.03,29.19,31.16
45,2018-07-27 10:31,3.22,0.6,0.15,0.63,1.43,4.6,87.01,0.25,28.04,1704,603,68,19,0,0,0,0,2394,532.29,10.38,2.93,6.71,23.7,10.02,26.75,1.02,29.24,31.06
46,2018-07-27 10:31,12.63,0,2.41,1.72,1.93,16.77,85.6,0.24,28.07,6694,0,1086,52,0,0,0,0,7832,523.71,24.3,6.65,14.53,47.91,21.62,71.27,1.02,29.21,31.24
47,2018-07-27 10:31,8.35,0.27,0,1,1.29,9.62,86.73,0.24,28.04,4424,266,0,30,0,0,0,0,4720,530.56,12.91,4.68,8.92,29.29,13.87,40.8,1.02,29.31,31.32
48,2018-07-27 10:31,14.8,0.69,0,0.55,1.68,16.03,85.87,0.26,27.95,7843,686,0,16,0,0,0,0,8545,525.36,15.39,5.99,12.96,42.06,17.9,60.65,1.03,29.21,31.32
