tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,¡C
1,2018-06-15 10:38,1.45,0.19,0,0.31,0.81,1.94,85.22,0.24,23.73
2,2018-06-15 10:38,4.53,0.43,0,0.2,0.97,5.16,84.33,0.25,23.87
3,2018-06-15 10:38,1.53,0.24,0,0,0.77,1.78,84.22,0.27,23.84
4,2018-06-15 10:38,8.31,0.27,0,0.42,1.13,9.01,84.64,0.26,24.01
5,2018-06-15 10:38,11.81,0.05,0,0.56,1.15,12.42,84.37,0.27,23.91
6,2018-06-15 10:38,4.58,0.03,0,0.82,1.08,5.44,84.07,0.27,24.09
7,2018-06-15 10:38,2.15,0.2,0,0.37,0.92,2.72,84.34,0.26,24.2
8,2018-06-15 10:38,3.11,0.37,0,0.2,0.9,3.69,84.56,0,24.25
9,2018-06-15 10:38,0.24,0.45,0.52,0.08,1.03,1.28,84.44,0.25,24.31
10,2018-06-15 10:38,5.33,0.79,0.04,0,0.92,6.16,83.58,0.25,24.31
11,2018-06-15 10:38,8.67,0.47,1.32,0,1.17,10.46,84.62,0.26,24.43
12,2018-06-15 10:38,3.34,0.7,0,0,1.36,4.05,84.23,0.24,24.48
13,2018-06-15 10:38,6.47,0.65,0,0,1.13,7.11,84.47,0.25,24.45
14,2018-06-15 10:38,2.11,0.49,0.9,0,1.12,3.5,84.25,0.26,24.58
15,2018-06-15 10:38,7.09,0.12,0,0.21,0.99,7.41,84.72,0.26,24.67
16,2018-06-15 10:38,3.8,0.63,0.03,0.07,0.97,4.53,85.28,0.26,24.63
17,2018-06-15 10:38,3.37,0.29,0,0.11,1.23,3.76,84.5,0.23,24.74
18,2018-06-15 10:38,15.21,0,0,0,1.29,15.21,83.56,0.25,24.82
19,2018-06-15 10:38,2.93,0.22,0,0.58,1.17,3.73,84.48,0.24,24.8
20,2018-06-15 10:38,6.93,0.52,0,0.13,1.33,7.58,84.95,0.23,24.8
21,2018-06-15 10:38,1.73,1.11,0.07,0,1.35,2.91,84.44,0.24,24.88
22,2018-06-15 10:38,15.03,0,0,0,0.12,15.03,83.54,0.26,24.91
23,2018-06-15 10:38,2.15,0.59,0.11,0,0.92,2.85,85.63,0.23,24.92
24,2018-06-15 10:38,12.66,0,0,0.5,1.21,13.17,84.29,0.26,25.09
25,2018-06-15 10:38,1.42,0,0,1.07,0.96,2.49,85.58,0.26,24.97
26,2018-06-15 10:38,13.37,0,0,0.51,1.29,13.88,84.2,0.25,25.19
27,2018-06-15 10:38,0.2,0.7,1.22,0,1.06,2.12,85.14,0.26,25.3
28,2018-06-15 10:38,4.08,0.29,0,0.7,1.1,5.07,85.26,0.24,25.23
29,2018-06-15 10:38,3.91,0.45,0.52,0,1.01,4.88,85.42,0.25,25.25
30,2018-06-15 10:38,1.94,0.68,0.76,0,1,3.37,85.31,0.25,25.36
31,2018-06-15 10:38,4.45,0,0.9,0.39,0.92,5.73,85.13,0.25,25.28
32,2018-06-15 10:38,2.72,0.38,0,0.71,1.41,3.81,84.75,0.23,25.29
33,2018-06-15 10:38,1.92,0.08,0.25,0.54,0.84,2.79,85.3,0.25,25.25
34,2018-06-15 10:38,0.53,0.84,1.01,0,1.22,2.37,85.51,0.24,25.28
35,2018-06-15 10:38,6.94,0.37,0.42,0.63,1.38,8.36,84.83,0.23,25.38
36,2018-06-15 10:38,1.08,0.74,0.61,0,1.36,2.43,85.11,0.23,25.24
37,2018-06-15 10:38,6.04,0,0,0.69,1.36,6.73,84.53,0.26,25.33
38,2018-06-15 10:38,7.04,0.45,0,0,1.21,7.49,85.11,0.24,25.28
39,2018-06-15 10:38,7.59,0.57,0.53,0,1.2,8.69,84.79,0.25,25.28
40,2018-06-15 10:38,8.73,0.3,0,0,1.26,9.04,85.14,0.25,25.37
41,2018-06-15 10:38,1.53,0.25,0,0.56,0.76,2.34,85.72,0.24,25.4
42,2018-06-15 10:38,0.5,0.65,1.37,0,1,2.52,85.79,0.27,25.35
43,2018-06-15 10:38,11.43,0.29,0,0.39,1.27,12.11,84.76,0.26,25.51
44,2018-06-15 10:38,8.13,0.57,0,0.22,1.32,8.92,85.26,0.24,25.6
45,2018-06-15 10:38,6.04,0.34,0.14,0.02,1.31,6.53,85,0.24,25.57
46,2018-06-15 10:38,10.82,0,9.03,0,1.47,19.85,83.86,0.25,25.62
47,2018-06-15 10:38,1.34,0.68,0.45,0,0.97,2.46,85.42,0.24,25.58
48,2018-06-15 10:38,4.96,0.56,0,0.01,0.96,5.54,85.43,0.24,25.59
