tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,¡C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,¡C,¡C
1,2018-07-10 11:52,17.47,0,0,0.5,1.43,17.97,85.11,0.33,22.9,9257,0,0,15,0,0,0,0,9272,520.66,15.6,5.36,11.48,41.89,16.43,65.5,1.03,24.28,23.29
2,2018-07-10 11:52,11.91,0,4.35,0.3,1.2,16.56,85.43,0.34,23.22,6314,0,1956,9,0,0,0,0,8279,522.63,20.01,4.81,10.71,38.52,16.3,62.89,1.03,24.76,24.25
3,2018-07-10 11:52,10.71,0,0,0.4,0.96,11.11,85.59,0.32,23.29,5674,0,0,12,0,0,0,0,5686,523.59,10.64,4.48,8.12,27.03,10.67,41.36,1.03,24.75,24.18
4,2018-07-10 11:52,13.93,0.87,0,0.38,1.08,15.17,85.12,0.33,23.25,7383,867,0,11,0,0,0,0,8262,520.72,12.93,5,12,33.41,16.95,51.66,1.03,24.81,24.36
5,2018-07-10 11:52,7.58,0.37,0,0.65,1.49,8.6,85.85,0.34,23.39,4016,374,0,19,0,0,0,0,4410,525.19,12.07,3.94,8.66,29.99,11.74,39.02,1.03,25.01,24.5
6,2018-07-10 11:52,6.67,0,2.28,1.3,1.8,10.24,86.43,0.32,23.44,3534,0,1024,39,0,0,0,0,4597,528.74,19.25,5.68,10.24,37.31,15.15,50.87,1.03,25.33,24.82
7,2018-07-10 11:52,12.27,0,1.96,0.42,1.26,14.66,85.63,0.32,23.54,6505,0,883,13,0,0,0,0,7401,523.84,16.07,4.74,9.81,35.98,14.62,56.1,1.03,25.09,24.87
8,2018-07-10 11:52,6.17,0.52,0,0.22,1.11,6.91,86.61,0.31,23.68,3272,519,0,6,0,0,0,0,3798,529.85,8.61,4.25,6.86,22.81,9.01,29.43,1.03,25.17,24.96
9,2018-07-10 11:52,4.93,0.06,1.71,0.2,1.25,6.91,86.6,0.32,23.69,2615,65,769,6,0,0,0,0,3455,529.81,11.43,3.48,6.09,25.22,8.11,33.46,1.03,25.2,25.28
10,2018-07-10 11:52,6.34,0,2.12,0.22,0.84,8.68,86.98,0.32,23.76,3361,0,953,6,0,0,0,0,4321,532.09,11.72,3.98,5.95,22.88,9.33,35.1,1.03,25.25,25.35
11,2018-07-10 11:52,9.3,0,11.44,0.66,2.12,21.41,84.99,0.32,23.84,4930,0,5150,20,0,0,0,0,10099,519.97,36.83,7.79,16.05,58.45,23.4,92.46,1.03,25.34,25.72
12,2018-07-10 11:52,8.8,0.17,0,0.89,1.65,9.86,86.17,0.31,23.94,4666,173,0,27,0,0,0,0,4865,527.19,13.65,5.33,9.46,34,12.93,45.06,1.03,25.52,25.75
13,2018-07-10 11:52,11.45,0,0,1.36,1.45,12.81,86.57,0.31,23.98,6068,0,0,41,0,0,0,0,6109,529.63,16.37,5,10.77,35.89,16.47,52.8,1.03,25.51,25.91
14,2018-07-10 11:52,3.24,0.33,0.94,0.16,1.06,4.68,86.99,0.33,24.05,1719,329,423,5,0,0,0,0,2476,532.2,8.77,2.87,5.09,19.55,7.08,24,1.03,25.56,26.15
15,2018-07-10 11:52,6.62,0.45,0,0.5,1.28,7.57,86.31,0.3,24.07,3509,447,0,15,0,0,0,0,3971,528.04,10.21,4.24,7.25,26,10.98,33.64,1.03,25.48,26.19
16,2018-07-10 11:52,4.07,0.28,0,0.84,1.67,5.19,85.88,0.31,24.07,2158,277,0,25,0,0,0,0,2460,525.38,11.61,3.31,6.84,27.76,10.28,31.84,1.03,25.72,26.27
