tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-06-14 16:04,0.58,0.54,0.9,0,0.83,2.02,83.99,0.27,23.62
2,2018-06-14 16:05,2.6,0.21,0,0.27,0.96,3.09,84.32,0.29,23.77
3,2018-06-14 16:08,0,0.42,0.31,0,1.02,0.73,84.66,0.29,23.95
4,2018-06-14 16:10,4.72,0.47,0.33,0,1.02,5.52,84.24,0.28,24.06
5,2018-06-14 16:11,7.11,0.68,0,0.13,1.07,7.92,83.83,0.29,24.16
6,2018-06-14 16:12,1.73,0.34,0.73,0.06,1.04,2.85,84.1,0.29,24.19
7,2018-06-14 16:12,1.39,0.89,0,0,1.09,2.28,84.69,0.29,24.2
8,2018-06-14 16:13,1.27,0.43,0,0,0.84,1.7,83.31,0.27,24.21
9,2018-06-14 16:14,1.89,0.52,0,0,0.8,2.41,85.26,0.29,24.34
10,2018-06-14 16:15,1.31,0.11,0,0.36,0.86,1.79,84.72,0.27,24.34
11,2018-06-14 16:16,3.12,0.45,1.24,0,0.96,4.8,84.29,0.26,24.39
12,2018-06-14 16:17,2.22,0,0.22,0.37,0.85,2.81,83.73,0.29,24.44
13,2018-06-14 16:18,2.65,0.24,0,0.63,0.77,3.52,84.76,0.29,24.54
14,2018-06-14 16:19,2.34,0.81,0,0,0.85,3.15,84.29,0.27,24.57
15,2018-06-14 16:20,2.29,0.24,0,0.22,1.21,2.75,83.82,0.28,24.57
16,2018-06-14 16:21,1.24,0.15,0.66,0,0.8,2.05,84.66,0.29,24.59
17,2018-06-14 16:21,2.81,0,0,0.39,0.8,3.2,83.83,0.27,24.68
18,2018-06-14 16:22,7.56,0.2,0,0.22,1.27,7.98,83.21,0.29,24.65
19,2018-06-14 16:23,3.47,0.15,0,0.31,0.77,3.93,84.79,0.27,24.82
20,2018-06-14 16:24,2.67,1.05,0.48,0,1,4.2,84.55,0.28,24.8
21,2018-06-14 16:25,2.06,0.53,0.65,0,0.84,3.25,85.08,0.27,24.83
22,2018-06-14 16:26,5.79,0.18,0.74,0.45,1.06,7.16,84.23,0.26,24.84
23,2018-06-14 16:27,3.6,0.28,0,0.09,0.55,3.97,84.64,0.27,24.84
24,2018-06-14 16:28,5.43,0,0.48,0.94,0.95,6.85,83.93,0.27,24.83
25,2018-06-14 16:33,1.39,0.24,0,0.15,0.94,1.78,85.13,0.27,25.05
26,2018-06-14 16:34,7.6,0.59,0.17,0,1.1,8.36,84.59,0.29,25.04
27,2018-06-14 16:35,1.82,0,0,0.4,0.88,2.21,85.73,0.27,25.15
28,2018-06-14 16:36,3.68,0.51,0,0,0.54,4.19,84.78,0.26,25.11
29,2018-06-14 16:36,2.15,0,0,0,0.98,2.15,85.32,0.25,25.18
30,2018-06-14 16:37,2.77,0.24,0,0,0.78,3.01,84.43,0.27,25.11
31,2018-06-14 16:38,2.86,0.35,0,0.2,1.17,3.4,85.69,0.27,25.15
32,2018-06-14 16:39,0.41,0.52,0.44,0,1.2,1.37,85.24,0.26,25.24
33,2018-06-14 16:40,0.35,0,0,0.64,0.92,0.99,84.87,0.26,25.15
34,2018-06-14 16:41,2.15,0.46,0,0,0.65,2.61,85.49,0.27,25.22
35,2018-06-14 16:42,5.06,0.84,0.67,0,1.04,6.57,84.89,0.28,25.33
36,2018-06-14 16:43,0.23,0.8,0.67,0,1.04,1.7,85.94,0.27,25.27
37,2018-06-14 16:44,5.65,0.65,0,0.28,0.76,6.57,85.17,0.27,25.29
38,2018-06-14 16:47,0.92,0.25,0,0,1.21,1.17,85.3,0.29,25.43
39,2018-06-14 16:48,3.63,0,0.23,0,0.97,3.86,85.55,0.27,25.4
40,2018-06-14 16:49,5.32,0.2,0,0,0.94,5.51,84.82,0.25,25.38
41,2018-06-14 16:50,1.05,0.03,0,0,0.57,1.08,85.18,0.27,25.46
42,2018-06-14 16:51,1.66,0,0,0.79,0.84,2.46,85.16,0.27,25.47
43,2018-06-14 16:51,7.02,0.4,0,0.07,0.87,7.5,85.56,0.26,25.43
44,2018-06-14 16:52,5.51,0.78,0.58,0,0.86,6.87,78.33,0.26,25.46
45,2018-06-14 16:53,4.34,0.28,0,0.03,0.74,4.66,85.56,0.28,25.49
46,2018-06-14 16:54,9.22,0,5.85,0,1.25,15.08,84.31,0.27,25.49
47,2018-06-14 16:55,1.37,0.26,0,0.04,0.98,1.68,85.95,0.29,25.46
48,2018-06-14 16:55,1.66,0.22,0,0,0.87,1.87,85.73,0.27,25.51
