tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-06-06 17:12,2.03,0,0,0,0.45,2.03,86.56,0.18,30.38
2,2018-06-06 17:14,0,0.12,0,0.24,0.76,0.37,86.42,0.19,30.28
3,2018-06-06 17:15,0.67,0.44,0.31,0,0.62,1.42,86.84,0.2,30.1
4,2018-06-06 17:17,0,0.24,0,0.06,0.65,0.29,85.68,0.19,29.98
5,2018-06-06 17:18,0,0,0,0,0.82,0,86.41,0.19,29.9
6,2018-06-06 17:21,0.56,0,1.03,0,0.45,1.59,85.84,0.18,29.72
7,2018-06-06 17:22,0.04,0,0.48,0.13,0.51,0.66,85.66,0.2,29.58
8,2018-06-06 17:23,0,0,0,0,0.68,0,86.45,0.18,29.56
9,2018-06-06 17:24,0,0.55,0,0.16,0.59,0.7,86.12,0.2,29.5
10,2018-06-06 17:25,0,0.01,0,0.3,0.6,0.31,86.57,0.19,29.41
11,2018-06-06 17:27,0,0.5,0,0.01,0.77,0.52,86.23,0.2,29.31
12,2018-06-06 17:28,0.69,0,0,0.18,0.67,0.86,86.01,0,29.11
13,2018-06-06 17:29,0.53,0,0,0,0.69,0.53,86.05,0.2,29.07
14,2018-06-06 17:31,1.27,0.02,0,0,0.66,1.29,86.8,0.19,29.06
15,2018-06-06 17:34,0,0.13,0,0.1,0.65,0.23,86.24,0.19,28.88
16,2018-06-06 17:35,0.01,0.02,0.82,0,0.64,0.85,86.11,0.19,28.81
17,2018-06-06 17:36,0,0.27,0.12,0,0.84,0.4,86.42,0.18,28.72
18,2018-06-06 17:38,0,0.26,0,0,0.75,0.26,86.22,0.19,28.63
19,2018-06-06 17:39,0.61,0.1,0.63,0,0.57,1.34,86.29,0.16,28.63
20,2018-06-06 17:40,0,0.54,0,0,0.76,0.54,86.06,0.17,28.58
21,2018-06-06 17:41,0.69,0.29,0,0,0.61,0.98,86.5,0.18,28.5
22,2018-06-06 17:42,0.56,0,1.56,0,0.35,2.12,86.88,0.18,28.38
23,2018-06-06 17:43,0.43,0.17,0.37,0,0.66,0.97,85.59,0.19,28.4
24,2018-06-06 17:46,0,0.32,0.4,0,0.75,0.72,86.06,0.19,28.3
25,2018-06-06 17:49,0,0,0,0.48,0.69,0.48,86.16,0.18,28.18
26,2018-06-06 17:50,1.42,0.3,0.61,0,0.54,2.33,85.56,0.19,28.1
27,2018-06-06 17:52,0.56,0.05,0,0,0.88,0.61,85.92,0.18,28.06
28,2018-06-06 17:53,0,0.27,0,0.14,0.64,0.41,86.63,0.18,28.04
29,2018-06-06 17:54,0.86,0,0,0,0.52,0.86,86.59,0.19,28.04
30,2018-06-06 17:56,0,0,0.16,0.09,0.7,0.25,85.63,0.18,27.95
31,2018-06-06 17:57,0.33,0,0.3,0,0.71,0.63,85.78,0.19,28.01
32,2018-06-06 18:00,0,0.09,0.17,0,0.77,0.26,86.32,0.2,27.92
33,2018-06-06 18:01,1.06,0.04,0.59,0,0.29,1.68,85.77,0.19,27.88
34,2018-06-06 18:03,0,0,0,0,0.82,0,85.99,0.18,27.77
35,2018-06-06 18:04,0,0.33,0,0,0.84,0.33,86.15,0.2,27.76
36,2018-06-06 18:06,0,0,0.09,0.11,0.71,0.2,85.45,0.16,27.76
37,2018-06-06 18:07,0,0,0.45,0.38,0.58,0.83,85.95,0,27.66
38,2018-06-06 18:10,0,0.12,0,0.13,0.7,0.25,85.77,0.21,27.7
39,2018-06-06 18:12,0.89,0.25,0,0,0.74,1.13,85.84,0.18,27.69
40,2018-06-06 18:13,0.45,0,0,0,0.69,0.45,86.24,0.19,27.58
41,2018-06-06 18:15,0,0.32,0,0,0.66,0.32,86.19,0.18,27.61
42,2018-06-06 18:17,0.44,0.07,0.14,0.42,0.48,1.06,85.47,0.18,27.55
43,2018-06-06 18:19,0,0.11,0,0,0.89,0.11,85.34,0,27.54
44,2018-06-06 18:21,0,0.49,0.18,0,0.75,0.67,85.98,0.18,27.47
45,2018-06-06 18:23,0,0,0,0.37,0.47,0.37,84.96,0.19,27.48
46,2018-06-06 18:25,1.98,0,0,0.82,0.83,2.79,85.65,0.18,27.44
47,2018-06-06 18:27,0,0.31,0.92,0,0.53,1.23,85.79,0.18,27.39
48,2018-06-06 18:29,0,0,0.01,0,0.79,0.01,86.26,0.17,27.42
