tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,¡C
1,2018-07-05 15:40,17.87,0.14,0.91,0.62,1.6,19.55,82.99,0,23.34
2,2018-07-05 15:40,9.07,0,2.35,0.6,1.42,12.02,84.02,0.25,23.31
3,2018-07-05 15:40,10.19,0,0,0.34,1.21,10.53,84.16,0.24,23.49
4,2018-07-05 15:40,21.15,0,1.8,0.75,1.44,23.69,83.29,0.24,23.48
5,2018-07-05 15:40,9.13,0.33,0,0.28,1.33,9.73,82.5,0.24,23.5
6,2018-07-05 15:40,14.07,0,1.7,0.25,1.18,16.02,83.74,0.25,23.58
7,2018-07-05 15:40,10.7,0,0.42,0.41,1.3,11.53,83.98,0.25,23.74
8,2018-07-05 15:40,10.4,0.28,0,0.15,0.97,10.83,85.01,0.23,23.78
9,2018-07-05 15:40,5.6,0,3.56,0.27,1.33,9.43,84.67,0.26,23.82
10,2018-07-05 15:40,11.02,0,0,0.62,1.05,11.64,85.67,0.25,23.94
11,2018-07-05 15:40,9.2,0,7.51,0.11,1.62,16.82,85.26,0.25,23.97
12,2018-07-05 15:40,9.94,0.11,0.9,1.02,1.51,11.97,84.86,0.23,23.95
13,2018-07-05 15:40,15.2,0,0,0.71,1,15.91,84.78,0.24,24.03
14,2018-07-05 15:40,7.07,0,1.59,0,0.77,8.66,85.95,0.24,24.05
15,2018-07-05 15:40,6.05,0.44,0,0.34,1.22,6.84,84.96,0.25,24.15
16,2018-07-05 15:40,5.54,0.17,3.19,0.3,1.44,9.2,84.42,0.24,24.2
17,2018-07-05 15:40,8.18,0,0,0.77,1.23,8.95,84.88,0.25,24.29
18,2018-07-05 15:40,7.86,0.62,0.77,0.09,1.16,9.34,85.09,0.23,24.39
19,2018-07-05 15:40,12.26,0.54,0,0.58,1.27,13.38,84.92,0.25,24.48
20,2018-07-05 15:40,11.3,0.21,0,0.66,1.22,12.16,85.54,0.23,24.45
21,2018-07-05 15:40,12.76,0,12.7,0,1.87,25.46,83.9,0.23,24.41
22,2018-07-05 15:40,17.01,0,0,0.64,1.45,17.66,85.29,0.23,24.55
23,2018-07-05 15:40,9.31,0,7.75,0,1.44,17.06,85.34,0.24,24.49
24,2018-07-05 15:40,14.22,0,4.73,0.46,1.55,19.4,84.14,0.26,24.61
25,2018-07-05 15:40,25.16,0,7.58,0,0.57,32.75,85.19,0.24,24.68
26,2018-07-05 15:40,14.86,0.44,0,0.53,1.4,15.83,84.34,0.25,24.69
27,2018-07-05 15:40,18.86,0,2.93,0.47,1.49,22.26,84.43,0.25,24.7
28,2018-07-05 15:40,8.84,0,2.59,0.59,1.3,12.02,85.78,0.24,24.76
29,2018-07-05 15:40,11.87,0.23,3.36,0,0.86,15.45,85.65,0.23,24.72
30,2018-07-05 15:40,10.78,0,2.24,0.46,1.21,13.48,86.21,0.23,24.7
31,2018-07-05 15:40,4.24,0.63,0,0.41,1.15,5.28,85.69,0.23,24.81
32,2018-07-05 15:40,9.99,0,2.54,0.52,1.23,13.05,85.7,0.23,24.78
33,2018-07-05 15:40,1.95,0.57,0,0.41,1.31,2.93,85.07,0.24,24.9
34,2018-07-05 15:40,5.46,0.36,0,0.37,1.11,6.19,85.77,0.26,24.91
35,2018-07-05 15:40,11.37,0.11,0,0.72,1.2,12.21,85.17,0.25,24.86
36,2018-07-05 15:40,7.66,0.19,0,0.65,1.13,8.49,85.24,0.24,25.01
37,2018-07-05 15:40,12.2,0,2.74,0.31,1.09,15.24,85.72,0.24,24.95
38,2018-07-05 15:40,14.12,0,3.29,0.69,1.63,18.11,84.61,0.27,25.05
39,2018-07-05 15:40,8.4,0,2.11,0.62,1.43,11.12,86.32,0.25,25.03
40,2018-07-05 15:40,9.06,0.39,0.35,0.55,1.45,10.35,84.73,0.26,25.1
41,2018-07-05 15:40,5.9,0.23,0,0.52,1.02,6.65,86.32,0.24,25.18
42,2018-07-05 15:40,3.87,0.38,0,0.66,1.2,4.91,86.19,0.24,25.08
43,2018-07-05 15:40,8.34,0,3.83,0.83,1.51,13,85.38,0.24,25.15
44,2018-07-05 15:40,10.71,0.37,0,1.25,1.19,12.34,85.84,0.24,25.11
45,2018-07-05 15:40,7.87,0.1,3.7,0,0.99,11.67,86.36,0.24,25.17
46,2018-07-05 15:40,18.21,0,21.54,0,1.77,39.74,84.02,0.25,25.21
47,2018-07-05 15:40,7.97,0,7.69,0.01,1.41,15.68,85.01,0.25,25.18
48,2018-07-05 15:40,11.86,0.49,3.15,0.24,1.43,15.73,85.5,0.24,25.2
