tank,week_number,temp,wattage,metacommunity,dispersal,ln_GPP_umol_L_h,benthic_chla_g_L,periphyton_chla_g_L,phytoplankton_chla_g_L,cyanobacteria_ugL,cryptophytes_ugL,diatoms_ugL,chlorophytes_ugL,total_fluoro_g_chla_L,total_fluoro_ug_C_L,ln_fluoro_ug_C_L,zoop_raw_g_L,ln_zoop_ug_L,volume,temp_K,inv_kT,inv_kTc,flowcam_particles_mL,diameter_mean,diameter_min,diameter_max,diameter_stdev,volume_mean,volume_min,volume_max,volume_stdev,carbon_g,X0_5um,X5_10um,X10_15um,X15_20um,X20_25um,X25_30um,X30_35um,X35_40um,prop_inedible,totalN,slope_size_spectra,CTMI_scaled,CPTI_scaled,ln_gpp_corr,sample_date
14,2,22.2375,0,4,none,2.218112148,0.008967124,5.28e-05,0.0001442,0,0.87,1.23,4.26,6.36e-06,318,2.50242712,4e-04,5.192956851,663.3734622,295.3875,39.27359172,-0.31161666,12252,3.56,2.18,19.54,2.12,90.29,0.43,3909,424.5,2.57e-06,2133,528.984,73.944,36.972,36.972,0,0,0,0,3.146808762,-2.021321694,NA,NA,-0.284314972,6/27/18
15,2,24.24173611,200,4,none,2.136143114,0.006269746,5.01e-05,0.0002102,1.15,0.25,0.77,5.88,8.05e-06,402.5,2.604765885,9e-04,6.003887067,659.301801,297.3917361,39.00891204,-0.046936976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.706893895,NA,NA,NA,-0.468622771,6/27/18
16,2,23.31222222,100,4,none,1.642286427,0.003755403,4.14e-05,0.0001346,1.16,0.78,0,3.68,5.61e-06,281,2.44870632,0.0046,7.635303886,701.1882632,296.4622222,39.13121877,-0.169243708,12394,4.84,3.02,23.5,7.14,165.9,14.46,6796.85,663.73,6.47e-06,1344.42,532.62,59.4,29.7,14.85,0,0,0,0,1.984195346,-2.117470066,NA,NA,-0.806419893,6/27/18
17,2,22.74569444,0,5,low,1.965065191,0.002291735,1.49e-05,0.000132,1.07,0.58,0,5.51,7.15e-06,358,2.553883027,5e-04,5.416100402,805.599095,295.8956944,39.20614018,-0.244165117,40723,4.26,1.07,19.44,2.56,60.67,2.15,2893.9,193,4.41e-06,1988.55,777.744,141.408,23.568,11.784,0,0,0,0,2.923634405,-2.363657581,NA,NA,-0.588817836,6/27/18
18,2,23.25055556,100,5,low,2.00560274,0.005936817,2.45e-05,0.0001872,0.41,0.59,0,6.25,7.25e-06,362.5,2.559308011,0.0012,6.29156914,694.3788611,296.4005556,39.13936009,-0.177385027,20398,4.46,0.83,22.29,7.18,123.1,0.3,5797.9,502.82,5.06e-06,1669,1488.748,126.844,13.352,13.352,13.352,0,0,1335.2,0.893089658,-2.415271514,NA,NA,-0.553705271,6/27/18
19,2,24.96986111,300,5,low,1.925998104,0.005161587,2.1e-05,0.000197,0.63,0.49,0,9.14,1.03e-05,513,2.710117365,0.0042,7.544332108,618.5851895,298.1198611,38.91363706,0.048338005,71094,5.25,2.7,21.73,2.47,110.16,0.8,5370,404.34,8.26e-06,2372.177,2206.563,217.2466,34.097,38.968,4.871,0,0,487.1,0.550857323,-2.514884407,NA,NA,-0.784119261,6/27/18
20,2,24.050625,200,5,low,1.979433894,0.006872351,4.88e-05,0.0001216,1.56,0.26,0,4.43,6.24e-06,312.5,2.494850022,5e-04,5.416100402,573.7969167,297.200625,39.03399622,-0.072021164,73507,3.78,2.1,20.36,2.21,48.9,0.8,4419.1,290.3,3.08e-06,1956.564,347.361,30.719,12.5239,10.1609,2.363,0,0,236.3,0.696743688,-2.792094917,NA,NA,-0.515416128,6/27/18
21,2,23.76416667,100,6,high,1.631501145,0.005948605,4.18e-05,0.000101,0.32,0.64,0,4.47,5.43e-06,271.5,2.433769834,1e-04,3.80666249,598.2268837,296.9141667,39.07165564,-0.109680578,50266,3.77,1.17,18.78,2.01,60.58,0.85,3468.5,171.8,3.06e-06,1536.948,749.322,57.456,26.334,7.182,0,0,0,0,2.268866433,-2.447241797,NA,NA,-0.802268689,6/27/18
22,2,24.44847222,200,6,high,2.128666055,0.005596887,4.68e-05,0.00039728,0,0.75,4.01,4.58,9.33e-06,467,2.669316881,1e-04,3.80666249,705.7278646,297.5984722,38.98181327,-0.019838212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.568146549,NA,NA,NA,-0.540650826,6/27/18
23,2,22.46361111,0,6,high,2.044115514,0.005162258,1.66e-05,0.0002088,0.69,0.24,0,5.77,6.69e-06,335,2.525044807,1e-04,3.80666249,705.7278646,295.6136111,39.24355185,-0.281576786,33359,3.99,2.01,19.13,2.11,74.31,4.27,3667,258.08,3.62e-06,2000.523,955.703,82.971,15.365,21.511,0,0,0,0,1.921072014,-2.350516783,NA,NA,-0.480929293,6/27/18
